0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147
39.8571428571,64.9678571429,63.8357142857,46.3571428571,49.6785714286,41.7285714286,44.7714285714,43.925,44.8392857143,48.9285714286,41.5107142857,46.4321428571,45.1642857143,43.6642857143,54.2428571429,50.0678571429,43.4571428571,49.9714285714,41.8357142857,41.4571428571,43.7642857143,42.7214285714,45.8464285714,61.1035714286,42.7428571429,50.3571428571,41.8392857143,52.0821428571,54.2642857143,52.2035714286,63.7892857143,59.8285714286,56.6607142857,45.3821428571,43.925,36.8214285714,51.7,46.3964285714,33.675,31.1857142857,36.2928571429,38.0857142857,41.2571428571,40.0928571429,41.9285714286,36.7428571429,35.2607142857,34.8357142857,37.2821428571,34.2464285714,35.5785714286,38.0714285714,32.6071428571,38.1071428571,37.5571428571,40.325,37.2642857143,35.6928571429,37.7107142857,35.6678571429,35.4964285714,37.625,38.6571428571,35.175,40.9285714286,40.0642857143,36.4785714286,36.2107142857,34.5357142857,40.2107142857,40.9071428571,32.3464285714,39.6357142857,37.4321428571,33.8821428571,35.8285714286,33.2571428571,34.375,38.2607142857,34.3,36.6964285714,33.6678571429,34.7892857143,30.7607142857,32.0892857143,32.275,31.4571428571,31.8607142857,28.1178571429,33.1821428571,32.9714285714,30.7964285714,35.9142857143,38.275,38.4857142857,27.9392857143,28.1678571429,32.6714285714,32.5892857143,33.1535714286,32.375,32.5964285714,31.7464285714,31.7821428571,32.2107142857,34.7428571429,32.5535714286,32.3178571429,34.6392857143,30.5071428571,33.3964285714,33.2392857143,30.1,28.9642857143,33.225,29.9857142857,33.4464285714,30.9321428571,34.6714285714,34.0285714286,28.8071428571,33.6285714286,32.45,33.9571428571,31.2464285714,31.3821428571,32.0714285714,34.9178571429,29.9464285714,32.8428571429,28.2428571429,31.75,31.9964285714,34.05,34.9,30.4392857143,30.3857142857,30.075,30.9571428571,29.8285714286,31.1071428571,31.9357142857,30.4964285714,33.6678571429,30.6892857143,29.7785714286,30.6392857143,30.5285714286
39.5392857143,64.2,66.05,46.2285714286,47.9892857143,44.4535714286,44.2892857143,41.7535714286,44.6035714286,51.175,40.3821428571,46.0571428571,43.6285714286,44.4464285714,53.8392857143,49.4,42.7142857143,51.3892857143,41.3285714286,40.4892857143,43.6642857143,43.1571428571,46.025,60.7892857143,43.5821428571,51.1107142857,41.2714285714,52.5357142857,53.3142857143,52.0142857143,53.7892857143,58.7714285714,56.1178571429,45.9357142857,43.1107142857,34.8607142857,50.3678571429,45.1607142857,34.1464285714,32.225,37.625,38.475,40.0928571429,42.8642857143,42.7607142857,37.6714285714,34.1214285714,36.1821428571,35.9035714286,32.0285714286,35.75,38.6428571429,32.8071428571,37.4964285714,38.0035714286,40.625,38.35,35.1071428571,38.5178571429,32.65,32.7,35.6785714286,38.8107142857,35.7678571429,40.7714285714,38.3892857143,37.1714285714,35.6607142857,35.0964285714,40.175,40.4285714286,33.2964285714,40.3071428571,36.2178571429,34.0178571429,35.2357142857,33.2321428571,33.4642857143,37.9892857143,32.3142857143,36.0571428571,33.95,35.6285714286,30.3071428571,31.9321428571,32.0178571429,31.3571428571,31.8392857143,27.55,33.1535714286,32.6464285714,31.2892857143,35.8928571429,37.35,38.1142857143,28.5821428571,27.6821428571,32.5178571429,32.2607142857,31.7607142857,32.6178571429,32.4321428571,32.1785714286,33.0214285714,32.1607142857,34.05,32.375,31.6035714286,35.2035714286,31.125,33.4464285714,32.6428571429,29.475,30.6392857143,32.7142857143,29.8535714286,32.8678571429,29.6321428571,34.1821428571,33.5107142857,29.2535714286,33.1035714286,32.8642857143,33.55,32.1107142857,32.5535714286,31.9035714286,34.5928571429,31.2071428571,32.3428571429,28.4285714286,32.2071428571,31.95,34.9928571429,34.3464285714,30.5285714286,30.5678571429,30.5107142857,30.0678571429,30.1178571429,29.7464285714,31.8428571429,30.9392857143,33.875,31.0285714286,30.2892857143,29.7642857143,30.1642857143
40.3178571429,63.85,65.6857142857,47.4464285714,47.85,48.35,43.8142857143,43.7428571429,46.8464285714,52.7107142857,41.2392857143,46.6285714286,43.9428571429,46.85,53.2107142857,48.775,41.6607142857,50.3142857143,42.2964285714,40.9428571429,43.5714285714,42.5392857143,46.3321428571,60.875,43.9428571429,51.9964285714,40.6714285714,52.0821428571,52.3178571429,52.6892857143,62.0785714286,57.35,60.6321428571,44.1357142857,43.1321428571,35.9678571429,49.0857142857,44.5607142857,34.2392857143,34.6821428571,38.9392857143,38.4821428571,39.5142857143,43.5071428571,41.4535714286,41.0107142857,35.1928571429,37.3071428571,36.8821428571,33.475,35.9642857143,39.5785714286,35.1214285714,35.8357142857,37.4071428571,40.4321428571,39.0571428571,34.9964285714,38.9142857143,32.6178571429,32.1107142857,33.9,38.7571428571,36.2821428571,41.125,36.3892857143,38.0714285714,34.0571428571,36.125,40.4071428571,40.75,33.5928571429,39.3285714286,36.2428571429,33.9214285714,35.2857142857,33.85,33.0821428571,37.4607142857,32.8285714286,35.65,33.1142857143,35.7714285714,31.4392857143,33.975,32.3535714286,31.8214285714,31.425,26.9428571429,33.0321428571,32.9821428571,31.0321428571,36.3071428571,37.7071428571,38.1178571429,28.3821428571,26.7428571429,32.5035714286,32.9285714286,30.4357142857,34.0,32.55,32.6464285714,34.7,31.825,34.0107142857,32.8142857143,31.45,34.2642857143,31.4178571429,33.1,32.8392857143,29.5857142857,30.7678571429,32.6678571429,28.9821428571,33.2321428571,29.5571428571,33.8964285714,33.2785714286,29.5428571429,33.6571428571,34.3321428571,34.3285714286,32.6178571429,33.8428571429,31.55,34.0428571429,31.5178571429,31.5071428571,28.3214285714,32.5892857143,32.3785714286,34.8178571429,33.6785714286,30.9214285714,30.3821428571,30.675,28.9928571429,29.3428571429,29.6678571429,31.175,30.475,33.4642857143,30.9035714286,31.1964285714,29.8571428571,30.9071428571
40.4642857143,64.4464285714,64.1607142857,47.9178571429,48.8535714286,51.6071428571,40.4142857143,46.7142857143,49.0785714286,52.8071428571,44.8214285714,47.475,45.1857142857,53.0142857143,53.6,47.0107142857,41.5892857143,50.0678571429,41.4821428571,40.9178571429,43.575,42.7392857143,47.2785714286,60.1571428571,45.125,52.3214285714,40.65,52.5285714286,51.6821428571,53.2607142857,66.0642857143,56.7285714286,62.8964285714,43.725,44.0285714286,34.4928571429,49.6178571429,43.9285714286,35.0214285714,33.8035714286,37.1107142857,38.4392857143,40.1714285714,42.4035714286,38.2785714286,41.6428571429,36.4678571429,37.3571428571,38.1214285714,34.7178571429,36.3035714286,40.2464285714,37.1142857143,34.9535714286,36.6214285714,39.8928571429,39.6642857143,35.8571428571,38.7642857143,34.8214285714,32.0964285714,32.8821428571,39.1214285714,37.0928571429,40.5285714286,36.4821428571,38.2964285714,33.4535714286,36.825,41.4107142857,40.6035714286,34.5857142857,38.3142857143,37.2142857143,35.0214285714,33.025,32.5607142857,30.7535714286,35.9035714286,33.3571428571,35.5392857143,33.15,36.65,31.5321428571,32.6857142857,32.3035714286,31.3714285714,32.1892857143,26.9857142857,33.5107142857,33.0678571429,31.0678571429,36.4464285714,37.7428571429,37.3642857143,28.85,26.9142857143,34.3142857143,33.4035714286,30.8571428571,34.5821428571,32.6357142857,32.1714285714,35.5285714286,32.3428571429,34.4607142857,33.3357142857,31.4535714286,34.7892857143,30.85,32.8785714286,32.3428571429,30.1714285714,29.2607142857,32.5571428571,29.4214285714,33.0821428571,29.8642857143,33.7035714286,33.8928571429,29.9857142857,33.3,34.9928571429,32.9571428571,31.6035714286,32.5821428571,32.0857142857,33.2571428571,30.7892857143,30.1964285714,28.9071428571,31.9785714286,31.8964285714,34.5392857143,35.1428571429,31.3892857143,30.675,30.8464285714,28.4535714286,29.5285714286,30.075,31.0,30.8428571429,33.7392857143,31.3714285714,31.525,29.8464285714,30.8464285714
40.9357142857,63.8892857143,63.2321428571,47.9142857143,49.8464285714,54.1678571429,38.1178571429,48.5821428571,51.3928571429,55.9035714286,46.4857142857,46.8464285714,46.2321428571,55.475,53.5571428571,46.2035714286,41.4,49.6892857143,41.8928571429,40.8357142857,43.4892857143,43.725,47.675,59.2178571429,45.5428571429,52.075,47.1607142857,53.2571428571,50.6607142857,52.7964285714,64.8571428571,56.3285714286,61.8142857143,42.3714285714,40.8928571429,34.4785714286,51.1321428571,43.6785714286,34.5892857143,33.4142857143,35.7535714286,39.9464285714,41.4607142857,40.9357142857,38.1357142857,39.2035714286,36.4535714286,39.2571428571,38.9464285714,33.0535714286,36.5392857143,40.3642857143,38.3928571429,33.7928571429,36.7321428571,40.5392857143,40.0392857143,37.2607142857,38.4464285714,33.0857142857,32.85,33.0285714286,38.8142857143,37.0035714286,40.1107142857,36.7071428571,38.4357142857,34.1535714286,36.8821428571,40.2785714286,41.1964285714,35.2571428571,40.1035714286,39.2142857143,35.4571428571,33.8214285714,33.4964285714,31.8142857143,33.0964285714,34.2178571429,35.6571428571,32.55,35.2857142857,30.1214285714,30.1571428571,31.8535714286,31.6821428571,31.6785714286,26.9678571429,32.8214285714,32.7178571429,31.8285714286,36.25,37.5535714286,38.1071428571,29.1285714286,27.4785714286,35.1178571429,33.6642857143,32.1428571429,34.2464285714,32.0892857143,32.4785714286,34.7857142857,33.5464285714,33.7892857143,32.5892857143,30.6428571429,33.9214285714,30.9214285714,33.1214285714,32.3964285714,30.3285714286,30.1428571429,32.7607142857,28.1785714286,32.6535714286,29.9642857143,34.6214285714,34.3428571429,30.0642857143,33.1357142857,35.5928571429,33.6571428571,32.2214285714,31.8892857143,32.7785714286,31.8142857143,30.675,29.1821428571,29.0571428571,31.2714285714,31.2285714286,35.325,34.125,30.9285714286,31.4857142857,30.775,29.1357142857,29.4642857143,30.0035714286,31.2535714286,30.5035714286,33.2964285714,31.2321428571,32.7571428571,30.2142857143,30.1928571429
41.1035714286,64.3821428571,63.2392857143,48.2535714286,47.7071428571,55.05,40.4535714286,50.45,51.85,49.6821428571,45.8071428571,48.25,47.8035714286,56.7892857143,52.6071428571,46.2285714286,41.1,51.1428571429,42.1714285714,40.2392857143,42.7,44.1035714286,47.8892857143,58.5821428571,45.2357142857,52.1071428571,53.1357142857,53.4035714286,50.3928571429,53.8285714286,41.6964285714,55.0357142857,57.9928571429,42.5571428571,37.6714285714,34.6535714286,51.2214285714,42.8964285714,34.275,33.4535714286,37.2035714286,40.3142857143,42.0678571429,40.1142857143,38.6821428571,37.9535714286,36.2928571429,40.5285714286,40.5285714286,32.0535714286,36.55,40.1,36.4071428571,34.6178571429,35.5392857143,40.7678571429,40.2785714286,37.8892857143,38.4107142857,33.8642857143,33.5357142857,33.9107142857,38.5607142857,37.2,38.7535714286,36.8357142857,35.95,35.175,37.4642857143,40.8607142857,41.9464285714,35.3392857143,40.0178571429,38.5464285714,34.5178571429,35.2107142857,34.6428571429,33.125,32.5892857143,34.9678571429,35.0178571429,32.7142857143,32.8142857143,31.0428571429,29.3678571429,31.8928571429,31.1321428571,31.7821428571,27.2428571429,32.3142857143,32.6357142857,32.4107142857,36.2107142857,37.8678571429,37.2107142857,28.8428571429,27.6071428571,35.0607142857,33.7821428571,32.2607142857,34.5785714286,30.3785714286,33.025,33.3,34.1535714286,34.2214285714,32.8142857143,30.5035714286,31.6357142857,31.325,32.7678571429,31.7142857143,30.5321428571,29.6214285714,32.8464285714,27.1464285714,32.4785714286,30.1428571429,34.7678571429,33.6142857143,31.6035714286,32.7607142857,34.6285714286,35.1964285714,33.125,32.5714285714,32.55,31.0821428571,31.0821428571,29.8,29.2428571429,30.6,30.4464285714,34.6464285714,32.6892857143,29.9428571429,31.5321428571,30.6964285714,28.8142857143,29.5321428571,30.8142857143,30.65,30.4392857143,33.8,31.175,33.0678571429,29.7357142857,30.825
40.9857142857,63.7928571429,63.9392857143,49.5428571429,44.9,55.6035714286,44.5285714286,53.225,53.6071428571,45.7,43.3392857143,49.1821428571,49.7607142857,59.5857142857,51.4571428571,44.9214285714,42.0464285714,46.2178571429,42.7464285714,40.4321428571,42.8714285714,43.5821428571,48.025,58.4214285714,46.2785714286,51.8178571429,55.9142857143,53.3607142857,50.2071428571,55.9214285714,56.2785714286,54.9892857143,57.6107142857,41.8,36.025,37.0928571429,52.4607142857,42.4928571429,34.3178571429,35.2285714286,39.3392857143,42.4285714286,42.3892857143,39.3821428571,37.9214285714,37.1714285714,37.5964285714,40.2178571429,41.3464285714,32.9,36.6035714286,39.9642857143,37.2107142857,35.2535714286,36.2964285714,41.6178571429,40.0285714286,38.2321428571,38.7178571429,33.9678571429,34.2214285714,34.425,38.6428571429,37.4964285714,38.2714285714,37.2464285714,34.625,36.3321428571,38.3321428571,40.675,41.0071428571,35.8857142857,39.9928571429,37.0642857143,35.1357142857,36.375,35.6857142857,34.0964285714,32.4642857143,35.85,35.0392857143,32.6642857143,31.9428571429,31.7571428571,29.3107142857,31.6071428571,31.5642857143,31.6964285714,28.4607142857,32.3571428571,34.075,32.9357142857,36.4178571429,36.8964285714,36.925,29.375,27.9678571429,34.1285714286,33.4678571429,31.675,34.5214285714,30.7857142857,33.1,33.9178571429,34.4142857143,34.3357142857,32.4571428571,31.0214285714,30.2,30.8642857143,32.9428571429,31.9892857143,28.875,28.5357142857,33.0464285714,27.3428571429,32.525,29.625,34.7535714286,33.7892857143,34.8178571429,32.3857142857,34.3785714286,35.7392857143,32.625,32.6321428571,32.525,31.1107142857,31.6,29.2857142857,29.3035714286,30.5107142857,30.0035714286,35.0142857143,32.0857142857,29.8928571429,32.4642857143,30.6714285714,29.9464285714,29.1642857143,30.9321428571,30.6357142857,30.8428571429,32.3678571429,31.175,33.0321428571,30.2607142857,31.9464285714
41.2178571429,60.9392857143,60.0821428571,49.6464285714,43.7857142857,56.1892857143,48.2642857143,54.7964285714,54.525,44.0928571429,44.3571428571,48.7214285714,51.3464285714,60.4464285714,51.0785714286,46.2928571429,44.7535714286,41.5857142857,41.2892857143,41.4821428571,43.0071428571,46.4964285714,47.375,57.7214285714,46.6178571429,51.9071428571,57.9571428571,52.9964285714,50.625,57.9785714286,47.3214285714,56.0964285714,58.2178571429,42.7107142857,35.2642857143,36.35,50.975,42.1714285714,34.9464285714,35.1678571429,39.1357142857,39.9107142857,39.4071428571,37.7642857143,36.8928571429,37.6357142857,39.3714285714,39.1785714286,42.0642857143,32.1035714286,37.9,38.6178571429,34.4321428571,35.9821428571,36.0607142857,40.7071428571,40.2107142857,38.4535714286,38.8107142857,33.5357142857,35.0214285714,35.2178571429,38.575,37.4321428571,38.3285714286,37.7857142857,35.0964285714,35.0071428571,36.875,40.9714285714,41.5035714286,36.7392857143,39.7214285714,36.2464285714,34.1107142857,34.6857142857,35.6607142857,34.9392857143,32.6357142857,36.2285714286,34.1,33.65,31.15,32.0357142857,29.9964285714,32.2607142857,31.2821428571,33.2321428571,28.275,32.5,33.7928571429,33.625,36.5892857143,37.3714285714,38.2178571429,29.4071428571,27.8714285714,32.5142857143,32.55,32.7535714286,33.8321428571,30.8642857143,33.1107142857,34.1392857143,34.6071428571,34.05,32.2535714286,31.675,29.3678571429,30.8357142857,32.8178571429,31.9642857143,29.4642857143,29.175,32.9892857143,27.8107142857,32.6892857143,30.8821428571,34.0892857143,33.8821428571,34.9928571429,32.2285714286,33.8607142857,35.0178571429,32.2035714286,31.7535714286,32.9285714286,31.5821428571,32.4642857143,29.8678571429,29.6928571429,31.1392857143,29.8178571429,36.0964285714,33.0571428571,29.6107142857,32.5285714286,30.9071428571,30.1392857143,29.0785714286,31.4535714286,30.3892857143,30.45,31.5392857143,31.1321428571,30.8428571429,29.525,31.9535714286
28.775,57.4,56.2214285714,47.225,45.0928571429,54.6,50.9571428571,56.3642857143,56.2285714286,44.7464285714,45.3214285714,43.6642857143,52.725,60.2392857143,50.0678571429,45.3964285714,64.0285714286,38.5428571429,41.4571428571,40.6321428571,42.9428571429,41.2964285714,47.9464285714,56.7392857143,45.875,51.55,59.0964285714,52.9857142857,51.175,57.8785714286,35.4107142857,55.4571428571,60.6107142857,43.3642857143,35.3392857143,36.3857142857,50.6785714286,41.5714285714,33.2642857143,35.1714285714,40.7214285714,39.6392857143,38.5607142857,37.9214285714,36.9357142857,35.6392857143,37.9392857143,36.9464285714,42.6785714286,34.375,38.3607142857,38.9214285714,33.9428571429,35.7607142857,35.9964285714,41.0357142857,40.3035714286,38.7178571429,38.1428571429,34.6964285714,36.4035714286,34.8892857143,37.6214285714,36.8607142857,37.6714285714,38.7321428571,34.7928571429,33.9857142857,34.575,40.7892857143,40.3607142857,37.1642857143,36.9714285714,33.8357142857,34.8357142857,34.2214285714,34.3321428571,32.7357142857,31.7571428571,36.4214285714,33.6678571429,32.9285714286,31.625,31.1392857143,30.5892857143,30.5571428571,31.8464285714,31.8714285714,28.65,32.6107142857,32.7571428571,33.9785714286,36.4321428571,37.2214285714,37.0285714286,29.325,27.9607142857,32.0,31.3107142857,32.3821428571,34.0357142857,32.2607142857,31.4785714286,35.225,34.8142857143,34.9428571429,32.3178571429,31.4392857143,29.1964285714,31.0178571429,33.2392857143,32.0285714286,30.4678571429,29.275,33.4321428571,28.3892857143,32.4821428571,30.5178571429,33.95,33.2107142857,35.0214285714,31.9535714286,33.9571428571,35.1857142857,30.9,30.7142857143,32.7035714286,31.9464285714,32.8428571429,30.7928571429,29.8964285714,30.6071428571,30.2392857143,35.2678571429,31.8607142857,29.6178571429,31.2035714286,30.9678571429,30.3964285714,28.3071428571,31.8285714286,30.6392857143,31.2535714286,30.6892857143,30.9535714286,29.8178571429,28.5821428571,31.625
35.5535714286,56.5107142857,53.55,43.9035714286,44.1285714286,54.0178571429,52.4571428571,57.6392857143,56.6928571429,46.4607142857,46.325,43.9964285714,54.0464285714,58.7607142857,49.4,43.0535714286,48.6357142857,38.0535714286,40.4892857143,37.775,42.7214285714,38.3392857143,48.3142857143,57.5535714286,46.1285714286,51.4464285714,60.9178571429,53.5107142857,54.1214285714,56.2857142857,44.8857142857,56.75,63.9321428571,43.8321428571,36.1678571429,41.4321428571,49.5642857143,41.6,33.2785714286,34.6892857143,40.2964285714,41.0642857143,40.0928571429,37.9071428571,37.2785714286,36.2642857143,37.2035714286,36.2107142857,42.625,33.8214285714,39.8285714286,40.5142857143,35.0714285714,36.2107142857,36.6285714286,40.9607142857,40.1785714286,38.6607142857,38.2714285714,34.2571428571,37.2892857143,34.6964285714,38.3714285714,36.4892857143,37.8785714286,38.0785714286,35.0785714286,34.5357142857,33.8714285714,40.5392857143,40.3714285714,37.6,36.8357142857,34.6071428571,36.1142857143,33.8535714286,34.15,32.1285714286,31.2821428571,36.5678571429,33.95,31.5428571429,29.9,30.6857142857,30.6785714286,30.0142857143,31.8607142857,31.375,28.6607142857,32.9714285714,32.175,34.1107142857,36.0571428571,37.675,38.0892857143,29.9928571429,28.2464285714,31.1071428571,32.3892857143,33.0285714286,34.4464285714,30.7357142857,30.1035714286,34.9607142857,33.45,34.4678571429,31.6035714286,30.25,29.6964285714,30.8178571429,32.6428571429,31.1714285714,31.2607142857,30.5714285714,34.5357142857,28.9678571429,30.9321428571,30.7357142857,33.6035714286,32.9607142857,34.3964285714,32.3607142857,33.55,34.8,31.5178571429,30.4642857143,31.1142857143,32.5428571429,32.3428571429,29.6035714286,28.2,29.6035714286,30.9071428571,35.775,31.5857142857,30.4321428571,30.1,30.9571428571,31.2071428571,27.6178571429,32.1214285714,31.3964285714,31.1642857143,31.9821428571,30.5785714286,29.8892857143,28.3178571429,32.4
