0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
21.5402298851,21.3534482759,21.2011494253,24.0287356322,20.0833333333,20.8275862069,22.2614942529,22.3333333333,21.5574712644,21.632183908,22.2959770115,24.0488505747,24.1954022989,23.5402298851,24.0172413793,24.5172413793,25.2327586207,23.4568965517,23.8074712644,23.4568965517,23.6063218391,23.9195402299,24.3189655172,24.0287356322,23.158045977,24.2270114943,24.1120689655,24.0775862069,23.9856321839,23.8908045977,24.5431034483,23.5488505747,23.9770114943,24.0488505747,24.1264367816,23.9425287356,23.8534482759,23.7643678161,24.816091954,23.3965517241,23.7643678161,24.1465517241,24.0488505747,24.117816092,23.6925287356,23.933908046,24.2126436782,23.775862069,24.3534482759,24.0172413793,24.0201149425,24.0172413793,23.6724137931,23.6896551724,24.2902298851,23.7643678161,23.9683908046,24.0287356322,24.7729885057,24.0316091954,23.8103448276,23.7298850575,23.6925287356,23.4971264368,23.6896551724,23.5402298851,24.1379310345,22.9367816092,23.4310344828,22.9051724138,22.7902298851,23.2183908046,23.2988505747,22.867816092,22.9568965517,23.341954023,22.7844827586,22.3017241379,22.882183908,23.2701149425,23.3247126437,23.6724137931,23.1005747126,22.5114942529,22.8908045977,22.816091954,23.0833333333,22.974137931,22.5775862069,23.4166666667,24.0373563218,23.2528735632,22.7327586207,22.7212643678,22.5201149425,22.3706896552,22.6264367816,22.0977011494,22.4281609195
21.6724137931,21.2729885057,21.3563218391,24.1982758621,20.2385057471,20.8275862069,22.2959770115,22.3793103448,21.5833333333,21.8074712644,22.2816091954,24.0603448276,24.2873563218,23.3620689655,24.1264367816,24.5172413793,25.2155172414,23.433908046,23.9511494253,23.6781609195,23.7988505747,23.8793103448,24.1666666667,24.2270114943,23.433908046,24.1551724138,24.2385057471,24.132183908,24.3017241379,24.0143678161,24.4367816092,23.4942528736,23.9540229885,23.8333333333,24.3275862069,24.275862069,23.7701149425,23.908045977,24.6609195402,23.7701149425,23.7528735632,24.2787356322,24.0431034483,24.1293103448,23.8189655172,23.8448275862,23.9252873563,24.0114942529,24.3735632184,24.1034482759,23.9137931034,23.9195402299,23.617816092,23.6666666667,24.0086206897,24.0316091954,23.9942528736,24.0459770115,24.7097701149,23.9166666667,23.7413793103,23.6695402299,24.1609195402,23.4913793103,23.4798850575,23.6551724138,24.4367816092,22.9454022989,23.183908046,22.7155172414,22.9022988506,23.224137931,23.117816092,22.7844827586,23.066091954,23.3247126437,22.683908046,22.3448275862,22.9454022989,23.5488505747,23.5977011494,23.7212643678,23.0574712644,22.5545977011,23.0201149425,22.8965517241,22.9224137931,22.7672413793,22.5459770115,23.4856321839,23.8649425287,23.25,22.7068965517,22.7040229885,22.4310344828,22.2873563218,22.5804597701,22.5718390805,22.2931034483
21.6637931034,21.0862068966,21.2902298851,24.1293103448,20.3189655172,20.8218390805,22.4856321839,22.4626436782,21.7787356322,22.1063218391,22.1063218391,24.0603448276,24.1925287356,23.3275862069,24.1005747126,24.566091954,25.2586206897,23.4540229885,23.9511494253,23.7931034483,23.882183908,23.8620689655,24.158045977,24.3304597701,23.25,24.066091954,24.0862068966,23.9224137931,24.0747126437,23.9482758621,24.591954023,23.6867816092,24.1494252874,24.0373563218,24.25,24.1637931034,23.6005747126,24.0201149425,24.7011494253,23.5977011494,23.6379310345,24.3103448276,23.8994252874,24.0,24.1465517241,23.6867816092,23.6551724138,24.2212643678,24.224137931,23.9310344828,23.9310344828,24.0948275862,23.6120689655,23.4827586207,24.2988505747,23.8505747126,23.9540229885,23.7844827586,24.6408045977,24.0028735632,23.8505747126,23.5201149425,23.9885057471,24.0545977011,22.9971264368,23.6408045977,24.5057471264,22.8333333333,23.1982758621,22.6810344828,22.9281609195,23.2126436782,23.0718390805,22.7270114943,23.0172413793,23.4224137931,22.8706896552,22.3505747126,22.9540229885,23.6867816092,23.4655172414,23.5574712644,23.1379310345,22.7356321839,22.9425287356,22.9540229885,23.0574712644,22.7557471264,22.3477011494,23.4712643678,23.8994252874,23.224137931,22.4511494253,22.5775862069,22.5,21.9655172414,22.4310344828,22.5517241379,22.1091954023
21.6264367816,20.7844827586,21.2701149425,24.2729885057,20.5488505747,20.6752873563,22.382183908,22.4827586207,21.7816091954,21.8045977011,21.9712643678,23.9482758621,24.2643678161,23.3247126437,23.9942528736,24.6551724138,25.1063218391,23.5402298851,23.9913793103,23.8189655172,23.6609195402,23.9770114943,24.1925287356,24.0603448276,23.1867816092,23.9425287356,24.2068965517,23.9051724138,23.9798850575,23.8994252874,24.4942528736,23.7701149425,24.2212643678,23.9913793103,23.6206896552,24.0689655172,23.6666666667,23.8304597701,24.4942528736,23.5344827586,23.6063218391,24.4626436782,24.0545977011,23.8333333333,24.1206896552,23.5086206897,23.8045977011,23.7126436782,24.025862069,23.933908046,23.8793103448,23.8017241379,23.6120689655,23.4683908046,24.1350574713,23.8505747126,23.7873563218,23.841954023,24.6637931034,23.9770114943,23.7614942529,23.5718390805,24.0948275862,24.2528735632,23.1206896552,23.5574712644,24.4022988506,22.9712643678,23.3908045977,22.6465517241,22.9942528736,23.1264367816,23.1666666667,22.6522988506,23.1005747126,23.1264367816,22.8649425287,22.3879310345,23.091954023,23.6867816092,23.6005747126,23.6350574713,23.1752873563,22.5747126437,22.9310344828,22.8103448276,23.025862069,22.7873563218,22.5,23.4770114943,24.0057471264,23.3132183908,22.316091954,22.7126436782,22.2155172414,22.1465517241,22.5,22.4396551724,21.9252873563
21.566091954,20.6005747126,21.3850574713,24.0603448276,20.6896551724,20.9913793103,22.474137931,22.25,21.8563218391,22.0574712644,21.8017241379,23.9051724138,24.3505747126,23.3074712644,24.1609195402,24.6264367816,25.1091954023,23.5143678161,23.7672413793,23.5775862069,23.6781609195,23.9224137931,24.2528735632,23.9367816092,23.2011494253,24.0431034483,24.1091954023,23.7212643678,23.9367816092,23.9195402299,24.5545977011,23.8706896552,24.0775862069,24.3965517241,23.3850574713,24.0143678161,23.8189655172,23.8620689655,24.6120689655,23.6091954023,23.474137931,24.4683908046,24.025862069,23.882183908,24.183908046,23.4482758621,24.2011494253,23.658045977,24.2011494253,24.0603448276,23.867816092,23.7787356322,23.6954022989,23.5632183908,24.132183908,23.816091954,23.7902298851,23.7212643678,24.7011494253,23.9367816092,23.9885057471,23.6120689655,23.8333333333,24.0,22.9540229885,23.7270114943,24.2356321839,23.0028735632,23.3017241379,22.7528735632,22.9683908046,23.316091954,23.2068965517,22.591954023,22.8936781609,22.8103448276,22.8390804598,22.3620689655,23.0517241379,23.5545977011,23.8132183908,23.7586206897,23.025862069,22.6436781609,22.9540229885,22.8793103448,23.2126436782,22.6465517241,22.4655172414,23.5,24.0459770115,23.275862069,22.1379310345,22.6810344828,22.2672413793,21.7816091954,22.6379310345,22.4798850575,21.8189655172
21.5316091954,20.6982758621,21.7471264368,24.2844827586,20.5229885057,20.9166666667,22.6379310345,22.3994252874,21.6724137931,22.0431034483,22.0775862069,23.7787356322,24.2816091954,23.275862069,24.1465517241,24.6293103448,25.3793103448,23.3218390805,23.8247126437,23.7586206897,23.7298850575,23.9396551724,24.2701149425,23.933908046,23.2528735632,24.0689655172,24.1436781609,23.9913793103,23.8793103448,24.0028735632,25.0,23.8074712644,24.1091954023,24.2040229885,23.3965517241,24.0402298851,24.0431034483,24.4971264368,24.4827586207,23.5862068966,23.841954023,24.4166666667,24.0,23.9683908046,24.2155172414,23.5431034483,24.2126436782,23.8965517241,24.1724137931,23.867816092,23.908045977,23.8620689655,23.7931034483,23.4971264368,24.1494252874,24.0632183908,24.0114942529,23.4655172414,24.7643678161,23.8994252874,23.6091954023,23.7270114943,23.6465517241,24.0804597701,23.1063218391,23.6695402299,24.224137931,23.0316091954,23.1264367816,22.6867816092,22.8304597701,23.158045977,23.0402298851,22.8620689655,22.9885057471,23.0804597701,22.9310344828,22.316091954,22.9597701149,23.4109195402,23.4022988506,23.591954023,22.9913793103,22.5890804598,22.8505747126,22.8793103448,23.0862068966,22.7126436782,22.2385057471,23.4798850575,24.1350574713,23.0862068966,21.9109195402,22.7183908046,22.2614942529,21.9655172414,22.5718390805,22.3735632184,21.8275862069
21.2729885057,21.0775862069,22.0201149425,24.2701149425,20.5373563218,20.9195402299,22.3793103448,22.341954023,21.7126436782,22.0344827586,22.224137931,23.75,24.3074712644,23.3362068966,24.4224137931,24.7212643678,25.5632183908,23.4252873563,23.3103448276,23.5316091954,23.6206896552,23.8477011494,24.2442528736,23.8333333333,23.1235632184,24.0287356322,24.117816092,24.1494252874,23.9568965517,23.9856321839,24.7356321839,23.5488505747,24.0747126437,23.9597701149,23.591954023,24.0028735632,24.0143678161,24.8132183908,24.2327586207,23.4942528736,23.6609195402,24.5316091954,24.1063218391,23.7844827586,24.367816092,23.4827586207,23.9109195402,23.7816091954,24.2270114943,24.0574712644,23.8994252874,23.7442528736,23.7701149425,23.7155172414,24.0172413793,24.0718390805,23.8591954023,23.5747126437,24.6724137931,24.0632183908,23.4626436782,23.7844827586,23.6091954023,23.7643678161,23.158045977,23.5718390805,24.0229885057,23.0488505747,22.6350574713,22.724137931,22.7183908046,23.3045977011,23.0890804598,22.7787356322,22.9252873563,23.1752873563,22.8448275862,22.408045977,22.7356321839,23.7385057471,23.5718390805,23.6293103448,22.9683908046,22.7729885057,22.9310344828,22.7816091954,23.0086206897,22.8620689655,22.4482758621,23.1120689655,24.0488505747,23.1034482759,22.0287356322,22.6666666667,22.4798850575,22.0948275862,22.6063218391,22.5689655172,21.8908045977
21.1436781609,21.2988505747,22.132183908,24.0977011494,20.6149425287,20.7873563218,22.3103448276,22.2327586207,21.7068965517,21.8936781609,22.4482758621,23.7442528736,24.2183908046,23.4137931034,24.367816092,24.6235632184,25.5747126437,23.4224137931,23.2298850575,23.5028735632,23.6350574713,23.9597701149,23.9626436782,23.882183908,23.117816092,23.9798850575,24.2298850575,24.3505747126,23.9310344828,24.0747126437,24.2672413793,23.7988505747,24.0948275862,23.9252873563,23.6724137931,23.9051724138,23.5862068966,25.1522988506,24.1206896552,23.2816091954,23.4913793103,24.5431034483,23.9770114943,23.6235632184,24.3074712644,23.7298850575,23.8850574713,24.0890804598,24.1091954023,23.8994252874,23.9022988506,23.7614942529,23.816091954,23.8879310345,24.2068965517,24.1408045977,23.6465517241,23.5948275862,24.617816092,23.7873563218,23.724137931,24.1005747126,23.6494252874,23.7011494253,23.5488505747,23.4367816092,23.9913793103,22.9281609195,22.4942528736,22.525862069,22.6982758621,23.3247126437,23.2902298851,22.9827586207,22.8706896552,23.1810344828,22.9913793103,22.2212643678,22.7183908046,23.8362068966,23.4051724138,23.6034482759,23.0890804598,22.6867816092,22.9655172414,22.7988505747,22.8735632184,22.7155172414,22.6293103448,22.9109195402,23.908045977,23.1005747126,22.0344827586,22.5344827586,22.4281609195,22.1436781609,22.6408045977,22.3936781609,22.0775862069
21.3132183908,21.2155172414,22.2212643678,23.9396551724,20.7614942529,20.6666666667,22.3850574713,22.1896551724,21.7729885057,22.0028735632,22.6350574713,23.7528735632,24.1264367816,23.2643678161,24.6925287356,24.474137931,25.4252873563,23.474137931,23.2586206897,23.6063218391,23.9224137931,24.0747126437,23.5402298851,23.6752873563,23.0977011494,23.5747126437,24.0747126437,24.275862069,23.8706896552,24.0172413793,24.2471264368,24.0775862069,23.974137931,24.1264367816,23.6494252874,23.5632183908,23.6609195402,25.1781609195,23.8505747126,23.5143678161,23.7988505747,24.4109195402,23.8908045977,23.4856321839,23.9683908046,24.0402298851,23.9482758621,24.0086206897,24.0114942529,23.9454022989,23.5545977011,23.816091954,23.8534482759,23.9310344828,24.3333333333,24.1149425287,23.7787356322,23.7816091954,24.6436781609,23.7902298851,23.8333333333,24.1408045977,23.7787356322,24.1982758621,23.3247126437,23.2183908046,24.091954023,22.9971264368,22.658045977,22.724137931,22.6494252874,23.1350574713,23.408045977,22.6465517241,22.7816091954,23.2298850575,22.8045977011,22.382183908,22.9224137931,23.4425287356,23.5574712644,23.7011494253,23.0833333333,22.5373563218,22.8850574713,22.7902298851,23.0402298851,22.775862069,22.4396551724,22.7413793103,23.6609195402,23.0028735632,22.316091954,22.5948275862,22.3247126437,22.2528735632,22.5086206897,22.2902298851,22.0833333333
21.3074712644,20.908045977,22.5201149425,23.5862068966,20.9655172414,20.2988505747,22.4051724138,22.3908045977,21.8994252874,21.7701149425,22.8908045977,23.8333333333,23.8706896552,23.1494252874,24.6609195402,24.6637931034,25.117816092,23.5373563218,23.0689655172,23.7988505747,24.0890804598,24.0316091954,23.5459770115,23.867816092,22.9367816092,23.0201149425,24.1810344828,23.7126436782,23.6264367816,23.9310344828,24.1091954023,24.0459770115,24.0431034483,24.3275862069,23.7155172414,23.6005747126,23.5459770115,25.2787356322,23.75,23.5143678161,23.5632183908,24.2614942529,24.0747126437,23.5545977011,23.6781609195,24.0574712644,23.9454022989,23.8965517241,24.0689655172,24.1637931034,23.1350574713,23.7729885057,23.7729885057,24.1091954023,24.5344827586,24.275862069,23.6235632184,23.9195402299,24.6293103448,23.8477011494,23.9885057471,24.0517241379,23.8994252874,24.367816092,23.6436781609,23.3247126437,24.1781609195,23.224137931,22.6666666667,22.7155172414,22.6465517241,23.1781609195,23.2672413793,22.5143678161,23.0775862069,23.2413793103,22.9597701149,22.3390804598,22.8275862069,23.4367816092,23.6120689655,23.7844827586,23.0747126437,22.632183908,22.867816092,22.7614942529,22.8908045977,22.7528735632,22.3448275862,22.7701149425,23.5977011494,22.7873563218,22.2586206897,22.5431034483,22.474137931,22.1264367816,22.4626436782,22.2356321839,22.0948275862
