0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
11.0194884287,10.9123020706,10.9914738124,14.0937880633,9.72228989038,9.87088915956,11.4799025579,11.2862362972,11.2119366626,11.5103532278,11.9951278928,13.6138855055,14.227771011,13.9829476248,13.6516443362,13.9244823386,13.7831912302,13.6613885505,13.8903775883,13.7563946407,13.8526187576,13.3105968331,13.9037758831,13.8331303289,12.9598051157,13.8136419001,13.9841656516,13.7612667479,13.5736906212,13.8221680877,14.2643118149,13.6699147381,13.5822168088,13.730816078,13.640682095,13.8038976857,13.8818514007,14.0036540804,14.7503045067,13.5140073082,13.6272838002,13.5261875761,13.946406821,13.8270401949,13.5018270402,14.1607795371,14.0730816078,13.8306942753,13.2947624848,14.0621193666,13.8185140073,13.6772228989,13.7101096224,13.922046285,13.8038976857,13.5468940317,13.5724725944,13.5481120585,13.6211936663,13.8221680877,13.7807551766,13.7661388551,13.6686967113,13.6065773447,13.4689403167,13.3617539586,13.5103532278,13.4811205847,13.5602923264,13.3008526188,13.1717417783,13.1035322777,13.5261875761,13.4531059683,13.490864799,13.7174177832,13.2825822168,13.1985383678,13.4165651644,13.6723507917,13.3105968331,13.4092570037,13.5140073082,13.2265529842,13.3154689403,13.1997563946,13.3422655298,13.4092570037,13.0450669915,13.5736906212,13.6504263094,13.3191230207,13.2204628502,13.1522533496,13.3118148599,13.1071863581,13.0426309379,12.8221680877,12.9451887942
11.0828258222,10.850182704,11.1595615104,14.1120584653,9.712545676,9.84043848965,11.4933008526,11.2460414129,11.2302070646,11.4689403167,11.9658952497,13.6151035323,14.2204628502,13.8964677223,13.7369062119,13.9257003654,13.7819732034,13.6711327649,13.9634591961,13.8172959805,13.9390986602,13.4579780755,13.868453106,13.7734470158,13.006090134,13.8599269184,13.9866017052,13.7503045067,13.580998782,13.8989037759,14.1327649208,13.574908648,13.6114494519,13.56272838,13.7088915956,13.8733252132,13.9512789281,14.0109622412,14.5651644336,13.6175395859,13.6114494519,13.5493300853,13.9415347138,13.8477466504,13.5493300853,14.0901339829,14.065773447,13.9451887942,13.2716199756,14.0511571255,13.8014616322,13.6151035323,13.7356881851,13.9646772229,13.7807551766,13.7393422655,13.5968331303,13.5651644336,13.5883069428,13.7088915956,13.7807551766,13.7198538368,13.7868453106,13.6431181486,13.3824604141,13.3629719854,13.5602923264,13.4920828258,13.4835566382,13.287454324,13.2082825822,13.1230207065,13.4628501827,13.347137637,13.5834348356,13.6942752741,13.2302070646,13.1339829476,13.3520097442,13.7137637028,13.5542021924,13.4774665043,13.5042630938,13.1644336175,13.3227771011,13.1851400731,13.3057247259,13.299634592,13.0024360536,13.5797807552,13.5334957369,13.3386114495,13.2338611449,13.1546894032,13.2046285018,13.1230207065,13.0645554202,12.9135200974,12.9671132765
11.0755176614,10.7332521315,11.1948842875,14.0791717418,9.75274056029,9.8915956151,11.5140073082,11.2789281364,11.2545676005,11.4896467722,11.8465286236,13.724725944,14.1693057247,13.8903775883,13.7637028015,13.9658952497,13.7673568819,13.6370280146,13.9585870889,13.8209500609,13.9415347138,13.4409257004,13.8160779537,13.6784409257,12.9866017052,13.8294762485,13.9756394641,13.7405602923,13.6053593179,13.87454324,14.2448233861,13.6163215591,13.5883069428,13.6699147381,13.587088916,13.8538367844,13.8306942753,14.1108404385,14.5481120585,13.4604141291,13.6272838002,13.6029232643,13.9512789281,13.7880633374,13.6017052375,14.0548112058,13.9293544458,13.9744214373,13.4689403167,13.9744214373,13.7831912302,13.6772228989,13.6650426309,13.9354445798,13.8867235079,13.6102314251,13.5992691839,13.5347137637,13.5907429963,13.7917174178,13.712545676,13.6358099878,13.7637028015,13.7527405603,13.2180267966,13.3313032887,13.5164433618,13.4323995128,13.4823386114,13.3130328867,13.2886723508,13.1364190012,13.4080389769,13.4141291108,13.515225335,13.6991473812,13.341047503,13.1875761267,13.4226552984,13.7417783191,13.4713763703,13.3495736906,13.4920828258,13.2021924482,13.3666260658,13.1412911084,13.3848964677,13.3020706456,12.9768574909,13.5773447016,13.646772229,13.3617539586,13.1741778319,13.0791717418,13.2862362972,12.84409257,13.0609013398,12.8855054811,12.9829476248
11.2107186358,10.6504263094,11.3325213155,14.1412911084,9.72350791717,9.85140073082,11.5554202192,11.371498173,11.2789281364,11.5079171742,11.7344701583,13.6760048721,14.149817296,13.9269183922,13.7052375152,13.9098660171,13.8160779537,13.6942752741,13.9013398295,13.7953714982,13.8721071864,13.4945188794,13.8587088916,13.6869671133,12.9817295981,13.7880633374,14.0475030451,13.796589525,13.6333739342,13.8416565164,14.1278928136,13.5651644336,13.652862363,13.5846528624,13.4092570037,13.7734470158,13.9257003654,13.987819732,14.4116930572,13.4579780755,13.5164433618,13.6236297199,13.9366626066,13.7697929354,13.6674786845,14.0438489647,14.0791717418,13.8842874543,13.3934226553,14.0048721072,13.790499391,13.5968331303,13.6967113276,13.9123020706,13.8331303289,13.7259439708,13.6029232643,13.5420219245,13.640682095,13.8038976857,13.8160779537,13.6577344702,13.7198538368,13.8087697929,13.0267965895,13.3154689403,13.5481120585,13.5066991474,13.5164433618,13.3227771011,13.3130328867,13.077953715,13.4884287454,13.3422655298,13.6187576127,13.6272838002,13.275274056,13.1352009744,13.5127892814,13.7028014616,13.5712545676,13.3788063337,13.4689403167,13.1388550548,13.3434835566,13.137637028,13.3836784409,13.3605359318,13.0487210719,13.6163215591,13.6065773447,13.2911084044,13.1218026797,13.1266747868,13.2411693057,12.8087697929,13.0146163216,12.8099878197,12.8489646772
11.1461632156,10.5676004872,11.5200974421,14.0925700365,9.77466504263,9.84896467722,11.5395858709,11.2302070646,11.3349573691,11.4287454324,11.580998782,13.6711327649,14.203410475,13.9415347138,13.7222898904,13.8964677223,13.8696711328,13.7198538368,13.8160779537,13.6723507917,13.8160779537,13.4263093788,13.9171741778,13.6516443362,12.9853836784,13.8124238733,14.0316686967,13.7990255786,13.7466504263,13.8526187576,14.1729598051,13.7429963459,13.6077953715,13.7393422655,13.0803897686,13.7917174178,13.8647990256,14.0487210719,14.425091352,13.6626065773,13.5724725944,13.6053593179,13.9732034105,13.7576126675,13.7649208283,13.8660170524,14.077953715,13.8136419001,13.2655298417,14.0560292326,13.8355663825,13.6711327649,13.6991473812,13.9439707674,13.7710109622,13.6930572473,13.628501827,13.5054811206,13.5968331303,13.8282582217,13.8099878197,13.6699147381,13.7259439708,13.7771010962,12.8282582217,13.293544458,13.5444579781,13.4299634592,13.4652862363,13.3313032887,13.3690621194,13.1924482339,13.5505481121,13.3179049939,13.515225335,13.412911084,13.2594397077,13.1863580999,13.3447015834,13.7405602923,13.8172959805,13.3946406821,13.4652862363,13.149817296,13.3580998782,13.2119366626,13.4068209501,13.3203410475,13.1144945189,13.5651644336,13.7856272838,13.341047503,13.0158343484,13.0852618758,13.1412911084,12.6479902558,13.0974421437,12.9257003654,12.7990255786
11.0828258222,10.556638246,11.7600487211,14.1120584653,9.79049939099,9.9293544458,11.640682095,11.2143727162,11.4007308161,11.4421437272,11.6735688185,13.7539585871,14.1412911084,13.8769792935,13.8221680877,13.8733252132,13.8465286236,13.6540803898,13.7892813642,13.8051157125,13.87454324,13.6613885505,13.9025578563,13.6236297199,13.0024360536,13.8465286236,13.9963459196,13.8879415347,13.6552984166,13.8172959805,14.2679658952,13.6711327649,13.6419001218,13.6711327649,13.1291108404,13.8185140073,14.0889159562,14.4092570037,14.3179049939,13.6114494519,13.5505481121,13.5931790499,13.8611449452,13.7198538368,13.8112058465,13.9768574909,14.1961023143,13.8830694275,13.3982947625,14.0267965895,13.790499391,13.7040194884,13.7527405603,13.9476248477,13.8270401949,13.6930572473,13.6626065773,13.5079171742,13.6029232643,13.7149817296,13.7417783191,13.6650426309,13.6053593179,13.7076735688,12.9232643118,13.2923264312,13.484774665,13.4665042631,13.4604141291,13.3288672351,13.3447015834,13.1132764921,13.3690621194,13.4518879415,13.6017052375,13.2630937881,13.275274056,13.1571254568,13.5176613886,13.6309378806,13.412911084,13.2911084044,13.3982947625,13.1827040195,13.2789281364,13.1461632156,13.3788063337,13.2728380024,12.9695493301,13.6358099878,13.6906211937,13.3032886724,12.9683313033,13.0998781973,13.0292326431,12.7819732034,13.0682095006,12.993909866,12.8209500609
10.9488428745,10.5773447016,11.9610231425,14.0645554202,9.76248477467,9.92448233861,11.6041412911,11.2082825822,11.3264311815,11.4141291108,11.8733252132,13.7929354446,14.1388550548,13.922046285,13.9330085262,13.9415347138,13.8647990256,13.7295980512,13.6601705238,13.7758830694,13.8319123021,13.5724725944,13.8818514007,13.6674786845,13.0085261876,13.8587088916,13.9732034105,13.8769792935,13.628501827,13.7929354446,14.4701583435,13.5651644336,13.6297198538,13.6613885505,13.0499390987,13.8258221681,14.0097442144,14.7320341048,14.1619975639,13.4774665043,13.4153471376,13.6211936663,14.0012180268,13.7198538368,13.8246041413,13.9196102314,14.0158343484,13.7576126675,13.2740560292,14.0267965895,13.8087697929,13.7344701583,13.7539585871,13.9914738124,13.7734470158,13.7624847747,13.5883069428,13.5347137637,13.5456760049,13.8185140073,13.7052375152,13.712545676,13.6419001218,13.7101096224,12.9585870889,13.2764920828,13.4555420219,13.4457978076,13.1339829476,13.3434835566,13.3325213155,13.0499390987,13.4153471376,13.2655298417,13.5481120585,13.3045066991,13.293544458,13.2070645554,13.353227771,13.7953714982,13.4957369062,13.3520097442,13.443361754,13.203410475,13.2679658952,13.1802679659,13.3447015834,13.3617539586,13.1084043849,13.5006090134,13.8002436054,13.3313032887,12.9244823386,13.0426309379,13.1839220463,12.7490864799,13.0828258222,13.0170523752,12.8940316687
10.8099878197,10.6065773447,12.1023142509,13.8952496955,9.80876979294,9.89646772229,11.5103532278,11.2472594397,11.4007308161,11.4555420219,12.203410475,13.7442143727,14.1108404385,13.9001218027,13.8976857491,13.9147381242,13.8672350792,13.6979293544,13.5395858709,13.8051157125,13.8696711328,13.7734470158,13.8306942753,13.6991473812,13.0267965895,13.862362972,13.9646772229,13.928136419,13.6601705238,13.8404384896,14.053593179,13.6626065773,13.6662606577,13.5724725944,12.9805115713,13.8002436054,14.0024360536,14.8185140073,14.1632155907,13.496954933,13.5079171742,13.5736906212,13.868453106,13.5858708892,13.6431181486,14.0633373934,14.0755176614,13.9585870889,13.1693057247,13.9719853837,13.8489646772,13.7576126675,13.7710109622,13.993909866,13.8611449452,13.7405602923,13.3105968331,13.5468940317,13.580998782,13.7649208283,13.7503045067,13.7649208283,13.6394640682,13.5846528624,13.3422655298,13.2606577345,13.4323995128,13.4457978076,13.0146163216,13.3300852619,13.3069427527,13.0645554202,13.4872107186,13.4531059683,13.6090133983,13.1839220463,13.3629719854,13.1583434836,13.4226552984,13.7856272838,13.43727162,13.4202192448,13.4409257004,13.2204628502,13.2728380024,13.1948842875,13.3386114495,13.3008526188,13.1766138855,13.3337393423,13.6272838002,13.3349573691,12.9305724726,13.0462850183,13.1278928136,12.784409257,13.0864799026,12.8818514007,12.9135200974
10.8209500609,10.6382460414,12.3142509135,13.7880633374,9.85992691839,9.85992691839,11.5274056029,11.1412911084,11.3459196102,11.5176613886,12.4725943971,13.7856272838,14.084043849,13.9110840438,13.9123020706,13.9257003654,13.868453106,13.7088915956,13.5176613886,13.8526187576,13.8879415347,13.8453105968,13.6382460414,13.6394640682,12.9598051157,13.7210718636,13.8879415347,13.9037758831,13.6711327649,13.8294762485,14.0353227771,13.6479902558,13.634591961,13.640682095,13.1157125457,13.6516443362,13.9415347138,15.0280146163,13.9622411693,13.5822168088,13.6029232643,13.5846528624,13.8989037759,13.4616321559,13.5822168088,14.0889159562,13.9610231425,13.8124238733,13.203410475,14.0280146163,13.7271619976,13.7685749086,13.7478684531,13.9135200974,13.8404384896,13.6711327649,13.1790499391,13.652862363,13.5980511571,13.7856272838,13.7369062119,13.7076735688,13.7149817296,13.7990255786,12.9512789281,13.1583434836,13.4884287454,13.4725943971,12.8306942753,13.3154689403,13.3154689403,13.0414129111,13.5042630938,13.2545676005,13.5797807552,13.3909866017,13.3507917174,13.1461632156,13.4799025579,13.7283800244,13.5956151035,13.4043848965,13.5347137637,13.0816077954,13.3300852619,13.2119366626,13.3897685749,13.293544458,13.0791717418,13.2606577345,13.5310596833,13.2630937881,13.0462850183,12.9683313033,13.1510353228,12.8124238733,12.9866017052,12.9086479903,12.9987819732
10.7807551766,10.6394640682,12.5359317905,13.5347137637,9.94884287454,9.69549330085,11.4981729598,11.1753958587,11.3495736906,11.4092570037,12.6857490865,13.8148599269,13.9768574909,13.9123020706,13.8781973203,13.8319123021,13.7649208283,13.7198538368,13.5249695493,13.9390986602,13.9086479903,13.9549330085,13.6102314251,13.6309378806,12.9658952497,13.3836784409,13.9512789281,13.5590742996,13.6004872107,13.8075517661,14.012180268,13.7149817296,13.5761266748,13.7088915956,13.0609013398,13.5456760049,13.9488428745,15.4287454324,13.8989037759,13.5542021924,13.4640682095,13.5883069428,13.8879415347,13.5493300853,13.4397076736,14.2107186358,14.0389768575,13.8611449452,13.1851400731,14.0669914738,13.5006090134,13.7442143727,13.784409257,14.0353227771,13.8355663825,13.7417783191,12.9805115713,13.5956151035,13.5858708892,13.8538367844,13.8282582217,13.8051157125,13.7490864799,13.7381242387,13.1827040195,13.1205846529,13.5225334957,13.4360535932,12.9293544458,13.4056029233,13.3361753959,13.0182704019,13.4287454324,13.3702801462,13.6272838002,13.3361753959,13.3276492083,13.1425091352,13.371498173,13.6796589525,13.4823386114,13.2850182704,13.4116930572,13.2009744214,13.299634592,13.149817296,13.3130328867,13.2655298417,13.1193666261,13.0913520097,13.4494518879,13.1534713764,12.9598051157,12.9305724726,13.1790499391,12.7210718636,13.0669914738,12.987819732,13.071863581
