0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153
27.4696969697,27.4848484848,23.5757575758,28.1212121212,28.4393939394,25.6666666667,27.5151515152,26.7424242424,27.2121212121,27.5,23.3939393939,25.9393939394,25.2575757576,24.7727272727,27.1212121212,26.8333333333,26.1363636364,24.1515151515,29.5303030303,29.7575757576,29.0151515152,29.7727272727,32.6212121212,30.9545454545,29.4090909091,30.2575757576,31.3484848485,28.7272727273,30.2272727273,28.196969697,28.8181818182,31.5151515152,28.8181818182,28.303030303,28.2121212121,26.5454545455,26.8939393939,27.696969697,25.2727272727,28.5606060606,27.8484848485,27.8484848485,26.5151515152,25.7575757576,25.1515151515,26.5151515152,24.8484848485,24.6515151515,25.2878787879,24.6363636364,24.5909090909,23.9242424242,24.6666666667,23.696969697,23.4696969697,23.7878787879,23.696969697,24.5151515152,23.9393939394,23.1515151515,25.3484848485,23.0909090909,22.8787878788,23.0151515152,23.7575757576,22.803030303,23.7575757576,23.1515151515,22.5,22.1818181818,21.7727272727,21.6363636364,22.2121212121,23.1666666667,21.4696969697,21.3181818182,23.9696969697,22.7727272727,24.2424242424,25.9393939394,25.4545454545,24.6515151515,24.9242424242,24.0606060606,25.0454545455,23.0606060606,22.8787878788,23.696969697,24.2878787879,23.0,24.803030303,31.5909090909,28.2727272727,27.6212121212,28.9545454545,24.7878787879,23.4242424242,23.1363636364,25.6515151515,24.7575757576,26.4090909091,25.6666666667,26.4848484848,25.8787878788,26.3181818182,24.5909090909,23.5909090909,23.2424242424,23.303030303,23.2727272727,23.8636363636,23.4848484848,22.8181818182,23.8636363636,26.3787878788,25.3181818182,25.3484848485,26.2424242424,25.2121212121,24.8333333333,24.0454545455,25.9393939394,26.0454545455,25.5303030303,22.6212121212,24.3787878788,24.3181818182,23.5757575758,22.7878787879,22.7727272727,22.6818181818,23.9848484848,24.4242424242,24.0757575758,23.3181818182,23.0151515152,22.0303030303,21.803030303,22.3636363636,22.4545454545,21.8787878788,22.3181818182,21.7878787879,21.9545454545,21.803030303,21.8484848485,21.5303030303,21.8181818182,22.4696969697,21.5909090909,21.6060606061,21.1666666667,21.7575757576,20.7121212121
27.5757575758,27.5,22.9545454545,28.1212121212,28.3939393939,25.8484848485,27.6515151515,27.4545454545,26.7272727273,27.6212121212,24.4696969697,25.9242424242,25.5909090909,26.3181818182,25.6363636364,27.5909090909,26.0757575758,24.1818181818,30.0,29.3787878788,28.9545454545,30.1363636364,32.1515151515,30.4545454545,29.4545454545,30.4393939394,31.3484848485,30.2272727273,30.8333333333,30.3787878788,29.3787878788,30.7121212121,29.7272727273,28.4090909091,26.9545454545,26.6515151515,26.5909090909,28.0909090909,25.6363636364,28.5303030303,26.8333333333,28.0606060606,26.9696969697,25.8939393939,25.303030303,25.6818181818,24.8939393939,24.3484848485,25.1060606061,25.1363636364,24.4848484848,24.1515151515,24.0909090909,23.6666666667,23.7727272727,23.9242424242,24.2727272727,24.1818181818,24.2727272727,23.3333333333,24.8939393939,23.1818181818,22.6212121212,23.0303030303,23.4242424242,23.0,23.696969697,22.6818181818,22.7121212121,21.9393939394,21.5909090909,21.4393939394,22.2272727273,23.3787878788,21.1363636364,21.7424242424,24.5454545455,22.8333333333,24.2424242424,24.9696969697,25.0454545455,25.696969697,24.2727272727,23.8333333333,23.8636363636,23.0606060606,22.9545454545,23.9545454545,23.8484848485,22.803030303,25.9242424242,31.4696969697,28.4242424242,27.3939393939,28.7121212121,24.7272727273,23.0606060606,23.3939393939,26.6818181818,25.0151515152,26.1515151515,26.5303030303,26.5454545455,25.9696969697,26.1363636364,23.8787878788,23.6060606061,23.2121212121,23.303030303,23.2121212121,24.4242424242,23.6060606061,22.6666666667,23.7121212121,25.3939393939,25.2727272727,26.0,26.3484848485,25.803030303,25.0757575758,23.8787878788,25.696969697,25.5454545455,24.7424242424,22.7727272727,24.4696969697,24.303030303,23.5303030303,23.1212121212,22.7727272727,22.6515151515,23.9242424242,24.6515151515,24.2272727273,23.3636363636,23.6515151515,22.6363636364,21.4393939394,22.1060606061,22.4696969697,21.9696969697,22.1363636364,21.803030303,21.8939393939,21.6212121212,21.8181818182,21.9393939394,21.9393939394,22.4090909091,21.4545454545,21.3939393939,21.2272727273,21.6060606061,20.9242424242
27.2575757576,27.2727272727,24.3181818182,28.196969697,28.8181818182,25.7121212121,28.4696969697,27.8181818182,26.6666666667,27.9393939394,25.7121212121,26.5303030303,26.0303030303,25.7575757576,25.0909090909,28.196969697,25.7878787879,24.0606060606,31.0757575758,29.5606060606,28.8333333333,30.8484848485,29.7878787879,30.9848484848,30.4848484848,32.0303030303,31.0454545455,30.9393939394,30.4696969697,29.8787878788,29.5757575758,29.3484848485,29.9242424242,28.7727272727,26.6515151515,26.6060606061,26.303030303,27.8333333333,25.4090909091,27.9242424242,25.9545454545,27.5,27.1212121212,26.1666666667,25.1060606061,25.0,25.5,24.6818181818,25.3939393939,25.5151515152,24.8787878788,24.3181818182,23.9848484848,23.4848484848,23.7272727273,23.7424242424,24.3787878788,24.0454545455,24.0606060606,23.3333333333,23.8484848485,22.9848484848,22.6666666667,22.9393939394,23.2575757576,23.0606060606,23.5454545455,22.6818181818,22.6060606061,22.1363636364,21.6060606061,21.5151515152,21.8939393939,23.1666666667,20.4090909091,21.9242424242,24.3636363636,22.8787878788,24.0303030303,25.3484848485,25.0757575758,25.7424242424,24.3939393939,23.7272727273,23.3484848485,23.2121212121,22.8787878788,23.803030303,23.8181818182,23.1060606061,26.3333333333,30.7121212121,27.6666666667,27.2878787879,28.7575757576,24.8636363636,23.1060606061,23.2727272727,26.5757575758,25.8787878788,26.5151515152,26.8636363636,25.9393939394,26.3939393939,25.7424242424,23.9696969697,23.6666666667,23.0,23.4848484848,23.303030303,24.9242424242,23.6515151515,23.3787878788,23.7424242424,25.9090909091,26.2272727273,26.0909090909,25.6060606061,26.4848484848,25.2878787879,25.4848484848,25.7272727273,25.4393939394,24.6060606061,23.1363636364,24.196969697,23.9545454545,23.8484848485,22.6666666667,22.4848484848,23.0909090909,23.9848484848,24.3939393939,24.5151515152,23.5303030303,23.7272727273,22.4242424242,21.6363636364,21.7575757576,22.6666666667,21.4848484848,22.1363636364,21.4696969697,21.8939393939,21.5151515152,22.3787878788,22.0454545455,21.7575757576,22.6515151515,21.5303030303,21.4696969697,21.3181818182,21.3787878788,20.9090909091
27.7878787879,28.303030303,24.8181818182,27.7727272727,27.5454545455,25.8787878788,28.4242424242,28.4090909091,26.9848484848,27.5454545455,25.8787878788,25.3787878788,26.3484848485,25.9848484848,25.0606060606,28.1363636364,26.0,24.0,30.4242424242,29.3484848485,28.4848484848,33.6818181818,30.0757575758,32.2878787879,31.8484848485,32.8636363636,30.696969697,30.9393939394,30.7878787879,31.5757575758,31.0151515152,29.196969697,29.9696969697,28.2121212121,26.1666666667,26.3636363636,26.3787878788,27.2121212121,25.4242424242,26.8939393939,25.2121212121,26.8484848485,26.6212121212,25.8636363636,25.3484848485,24.7272727273,26.4545454545,24.3181818182,25.4696969697,25.803030303,24.9696969697,24.6363636364,23.5303030303,24.2424242424,23.7727272727,23.5454545455,24.0303030303,24.0606060606,23.7272727273,23.2575757576,25.1060606061,23.0151515152,22.696969697,22.696969697,23.2575757576,23.2424242424,23.8181818182,22.8181818182,22.6212121212,21.9696969697,21.8787878788,21.5909090909,22.0151515152,23.2878787879,20.2727272727,22.4090909091,24.3636363636,22.9090909091,24.4696969697,26.3484848485,26.2424242424,25.9090909091,24.0757575758,24.1060606061,22.7424242424,22.6363636364,22.6515151515,23.9393939394,23.9393939394,23.1818181818,26.3333333333,30.9090909091,27.4393939394,27.3484848485,27.2121212121,24.7424242424,22.8787878788,23.2121212121,27.5909090909,27.1212121212,26.0757575758,26.2272727273,25.2575757576,26.4393939394,24.1363636364,24.1666666667,23.5909090909,23.1818181818,23.0454545455,23.0,24.9696969697,23.4090909091,22.9090909091,23.7575757576,24.7424242424,26.4545454545,25.5,24.7727272727,25.6818181818,25.6818181818,25.5,25.8181818182,24.7878787879,23.2727272727,22.6818181818,24.1666666667,23.9242424242,24.0606060606,21.8787878788,22.5303030303,23.0757575758,24.1060606061,24.5606060606,24.803030303,22.7424242424,23.1818181818,22.6212121212,21.6666666667,21.7575757576,22.7424242424,21.8181818182,22.0454545455,21.7878787879,21.9696969697,21.5757575758,22.3636363636,21.8181818182,21.8636363636,22.5757575758,21.5606060606,21.5151515152,21.5151515152,21.7424242424,20.9242424242
28.3636363636,29.303030303,25.7878787879,27.0606060606,27.7878787879,25.8787878788,28.8333333333,29.8787878788,26.6212121212,28.2727272727,27.0303030303,25.2727272727,25.5303030303,25.4242424242,24.7878787879,27.196969697,26.0151515152,24.8181818182,31.1515151515,29.6363636364,28.5454545455,32.9848484848,28.8787878788,32.0151515152,33.5,32.4393939394,31.5909090909,31.1515151515,29.6818181818,31.6818181818,30.7575757576,30.1060606061,31.0606060606,27.1515151515,26.7575757576,26.4242424242,26.0,26.9545454545,25.7272727273,26.4696969697,25.3181818182,26.6212121212,25.7272727273,26.0454545455,25.2272727273,24.7727272727,26.5606060606,25.0151515152,25.8636363636,25.5151515152,24.9090909091,24.303030303,23.3636363636,23.8181818182,23.6363636364,23.5,24.0909090909,24.1666666667,23.9090909091,23.4393939394,25.7121212121,23.0151515152,22.7575757576,22.7272727273,22.9393939394,23.0909090909,23.696969697,23.1515151515,22.5303030303,21.9393939394,21.8333333333,21.7424242424,22.6212121212,22.9848484848,20.3636363636,22.2424242424,24.4848484848,22.9090909091,24.5454545455,26.1060606061,26.3636363636,26.3484848485,23.8333333333,24.1363636364,22.7727272727,22.5151515152,22.803030303,24.4242424242,24.3787878788,23.4090909091,25.5454545455,30.9696969697,28.1666666667,27.2121212121,26.9696969697,24.4545454545,22.7424242424,23.2575757576,26.9545454545,27.303030303,27.0454545455,26.5606060606,24.3787878788,26.0,24.1212121212,23.8484848485,23.6363636364,23.5606060606,23.0454545455,23.1515151515,24.8333333333,23.2727272727,23.0151515152,23.7272727273,24.0303030303,26.0303030303,24.1818181818,24.9242424242,25.3484848485,25.8939393939,25.1515151515,26.2878787879,24.1060606061,23.2272727273,22.3787878788,24.3939393939,24.0303030303,23.5909090909,22.7272727273,22.4696969697,22.8787878788,24.0,24.6666666667,25.8787878788,22.3181818182,22.696969697,22.5909090909,22.2424242424,21.7272727273,22.5909090909,21.6363636364,22.0303030303,21.6363636364,22.2424242424,21.6818181818,22.5606060606,21.5454545455,21.7121212121,22.8181818182,21.6212121212,21.6363636364,21.5,21.696969697,20.9545454545
28.7272727273,29.6818181818,27.1515151515,27.1666666667,26.3181818182,25.7272727273,28.9090909091,29.303030303,26.303030303,27.9545454545,27.0606060606,25.1515151515,25.7424242424,25.4545454545,24.7727272727,27.0757575758,25.9242424242,26.5,31.0606060606,28.6212121212,28.4090909091,33.6818181818,28.1515151515,30.5454545455,32.0606060606,32.6363636364,32.3939393939,31.196969697,27.9090909091,30.4848484848,30.9242424242,30.1666666667,29.4090909091,26.7121212121,26.5,26.2424242424,26.2727272727,25.0909090909,25.8787878788,26.0606060606,25.2121212121,26.303030303,25.7878787879,26.0303030303,25.3787878788,24.5454545455,26.7878787879,25.9393939394,25.9242424242,25.4393939394,25.1060606061,24.5303030303,23.8333333333,23.4545454545,23.9242424242,23.6818181818,23.9090909091,24.1212121212,24.0303030303,23.303030303,25.0606060606,22.9848484848,22.7878787879,22.9090909091,23.0303030303,23.0151515152,23.5151515152,23.3181818182,23.2121212121,22.1515151515,21.7272727273,21.8333333333,23.0909090909,23.5757575758,20.8939393939,22.2727272727,24.6060606061,23.1212121212,24.5454545455,26.3484848485,26.4393939394,26.7272727273,23.7727272727,23.7878787879,22.5,22.8939393939,22.6212121212,24.1212121212,24.0909090909,23.2727272727,25.4242424242,31.196969697,27.4545454545,27.303030303,28.1363636364,24.5303030303,22.6666666667,23.7727272727,25.4393939394,27.4545454545,27.3787878788,25.7575757576,24.5151515152,25.7424242424,24.2727272727,24.0606060606,23.7878787879,23.5151515152,23.7878787879,22.9090909091,24.1666666667,23.3484848485,23.0,23.8484848485,24.0909090909,24.9090909091,25.3333333333,24.8181818182,25.3333333333,25.6363636364,25.3181818182,25.0606060606,23.5909090909,23.3333333333,23.6212121212,24.3181818182,23.803030303,23.6060606061,23.6515151515,22.7575757576,23.3181818182,24.1363636364,24.5909090909,25.5454545455,22.2727272727,22.5303030303,22.5151515152,22.2424242424,21.9545454545,22.8636363636,21.8484848485,22.0757575758,21.8636363636,22.0303030303,21.9848484848,22.196969697,22.1060606061,21.7121212121,22.7878787879,21.7424242424,21.2272727273,21.6666666667,21.7878787879,21.1515151515
29.0606060606,29.5454545455,27.7878787879,27.3333333333,25.8181818182,25.9242424242,28.9848484848,28.6060606061,26.5909090909,27.6666666667,26.3181818182,25.9848484848,25.0151515152,25.0151515152,25.0454545455,28.5303030303,25.6363636364,27.9545454545,30.7727272727,28.8787878788,28.1666666667,33.5303030303,28.8484848485,31.7575757576,32.1818181818,32.9393939394,30.9393939394,30.5151515152,27.9242424242,29.9696969697,31.1515151515,28.5,28.5,26.0454545455,26.6818181818,26.196969697,26.2878787879,25.2121212121,25.696969697,25.8787878788,25.4545454545,26.1212121212,26.1818181818,25.8484848485,25.4545454545,24.9545454545,25.5909090909,25.0606060606,25.5151515152,25.9545454545,25.4696969697,24.6212121212,24.1060606061,23.303030303,24.0909090909,24.3787878788,24.2727272727,23.9696969697,24.0151515152,23.5909090909,24.0909090909,24.0757575758,22.9090909091,22.8636363636,22.8484848485,22.9242424242,23.4848484848,23.1060606061,22.7727272727,22.2272727273,21.5606060606,21.6363636364,23.3333333333,23.3484848485,21.303030303,22.4696969697,24.4090909091,23.0909090909,24.5,24.6818181818,26.5303030303,26.3787878788,23.803030303,23.803030303,22.6363636364,23.1818181818,22.7575757576,23.9848484848,24.2575757576,23.3333333333,25.4696969697,31.0606060606,27.2575757576,26.8636363636,27.9393939394,24.4545454545,22.7727272727,23.7424242424,25.0757575758,27.3484848485,27.4090909091,25.3484848485,24.4545454545,25.4848484848,24.2727272727,23.7121212121,23.7121212121,24.1515151515,23.6363636364,23.2727272727,23.4848484848,23.1515151515,22.803030303,23.3484848485,24.2878787879,24.2727272727,24.7727272727,24.8787878788,25.0151515152,25.5151515152,24.9545454545,26.0757575758,24.3181818182,23.3181818182,24.0151515152,24.2575757576,23.6363636364,23.5151515152,23.5909090909,22.696969697,23.196969697,24.0151515152,23.9696969697,25.3181818182,22.6818181818,22.6212121212,22.6060606061,22.3939393939,21.9090909091,22.9545454545,21.7424242424,22.4393939394,21.9545454545,22.1818181818,21.9696969697,22.5151515152,22.4242424242,22.0757575758,22.5757575758,21.7727272727,21.3333333333,21.8181818182,21.5909090909,21.3939393939
29.1515151515,28.7575757576,27.8939393939,26.7575757576,25.8484848485,26.6060606061,28.8333333333,27.0909090909,26.3333333333,27.803030303,26.0454545455,26.2272727273,25.2575757576,25.0909090909,25.0303030303,27.8787878788,26.1060606061,27.7727272727,30.6515151515,28.8181818182,28.4242424242,36.4393939394,28.2424242424,30.8181818182,31.0454545455,31.6060606061,29.2727272727,29.6666666667,27.4242424242,29.4242424242,29.7424242424,28.0,27.696969697,26.4848484848,26.5,26.4848484848,26.0,25.4393939394,26.0151515152,25.6363636364,25.7424242424,25.9393939394,26.8333333333,26.1060606061,26.2727272727,24.7424242424,25.2121212121,24.1666666667,25.7272727273,25.3181818182,25.4242424242,24.7272727273,24.4545454545,23.2878787879,23.9393939394,24.1515151515,24.1818181818,24.1515151515,24.0,24.2727272727,23.803030303,24.6060606061,22.9545454545,22.8939393939,23.1363636364,23.0909090909,23.4242424242,23.4545454545,22.4848484848,22.4696969697,21.5151515152,22.0303030303,23.9242424242,22.8787878788,21.5606060606,22.4242424242,24.5454545455,23.1363636364,24.3636363636,24.8939393939,25.9393939394,26.2727272727,23.9090909091,23.7727272727,22.8181818182,23.6060606061,22.9696969697,23.9090909091,24.2878787879,23.5909090909,25.2272727273,31.2878787879,27.7272727273,26.9848484848,27.9545454545,24.4242424242,23.1212121212,23.7121212121,24.7424242424,26.803030303,26.2727272727,25.2424242424,23.8787878788,24.6060606061,24.0303030303,23.9393939394,23.6818181818,23.9848484848,23.1363636364,23.3484848485,23.196969697,23.2121212121,22.7878787879,23.4848484848,24.2878787879,23.696969697,25.2727272727,24.303030303,24.7575757576,25.0151515152,25.6818181818,25.5303030303,23.9090909091,23.4242424242,24.2272727273,24.1666666667,23.8636363636,23.3939393939,23.5606060606,22.6060606061,23.303030303,23.9393939394,24.2575757576,24.8636363636,22.9848484848,22.4393939394,22.2121212121,22.303030303,21.6515151515,22.4393939394,22.0303030303,22.1818181818,22.0606060606,22.1363636364,21.9545454545,22.3333333333,22.3484848485,22.0454545455,22.7272727273,21.8939393939,21.5757575758,21.6666666667,21.9393939394,21.4696969697
28.6212121212,28.4393939394,27.6818181818,26.303030303,25.6666666667,26.8333333333,28.0151515152,26.9848484848,27.3181818182,26.803030303,25.5303030303,26.0757575758,24.7727272727,26.303030303,24.9090909091,27.696969697,26.1363636364,28.4242424242,28.8333333333,28.303030303,28.6818181818,34.9696969697,28.7272727273,30.3484848485,30.4242424242,29.6818181818,28.8484848485,28.3333333333,27.6666666667,29.0757575758,28.7878787879,27.5606060606,27.5909090909,26.3484848485,26.7575757576,26.5303030303,25.9696969697,25.2727272727,26.7575757576,25.5606060606,25.6363636364,25.8787878788,26.3636363636,25.8484848485,25.7575757576,24.3484848485,24.4242424242,24.0,25.7424242424,25.0454545455,25.3636363636,24.6363636364,24.303030303,23.4545454545,23.696969697,22.8939393939,24.0909090909,24.0757575758,23.9090909091,23.8636363636,23.5151515152,23.6363636364,22.9090909091,22.8787878788,23.0454545455,23.1212121212,23.1666666667,23.2878787879,22.3484848485,22.5151515152,21.5151515152,22.303030303,23.803030303,23.0,21.696969697,22.6363636364,24.5606060606,23.2575757576,24.5909090909,24.8939393939,25.8939393939,26.2424242424,25.6666666667,24.0909090909,23.0606060606,24.4242424242,23.1363636364,24.0303030303,24.0,23.9393939394,25.2575757576,31.1212121212,27.4696969697,26.4848484848,26.9393939394,24.2575757576,23.4090909091,23.7575757576,24.5303030303,26.0303030303,25.8787878788,25.3333333333,24.1666666667,24.7272727273,24.2878787879,23.9242424242,23.5909090909,23.9090909091,23.1212121212,23.2121212121,23.7121212121,23.1212121212,23.1818181818,23.4848484848,23.9696969697,25.0303030303,24.5909090909,24.696969697,24.7575757576,24.7424242424,26.6363636364,26.9848484848,23.9393939394,22.9848484848,24.4393939394,24.4393939394,23.7878787879,23.1363636364,23.4545454545,22.8939393939,22.803030303,23.8333333333,24.0,24.7121212121,22.7121212121,22.3787878788,22.5,22.3939393939,22.0606060606,22.1666666667,22.3939393939,21.8333333333,21.7727272727,22.1515151515,21.9242424242,22.2424242424,22.3484848485,22.0606060606,22.6060606061,21.8939393939,21.7121212121,21.5909090909,21.4393939394,21.7575757576
28.3484848485,27.5151515152,27.1666666667,26.1666666667,25.8484848485,27.1060606061,27.196969697,26.6363636364,27.5606060606,26.1666666667,26.2272727273,26.0151515152,26.3181818182,25.7727272727,25.0909090909,28.0454545455,26.0606060606,27.5606060606,30.303030303,28.3484848485,28.8939393939,37.9242424242,29.1060606061,29.8181818182,30.6060606061,29.2272727273,28.5757575758,28.5454545455,27.6515151515,28.1060606061,28.4545454545,28.2878787879,27.4545454545,26.4848484848,26.5,26.3333333333,26.0606060606,25.6363636364,26.0,25.6060606061,25.5,26.1666666667,26.5,25.9696969697,24.8484848485,24.9393939394,24.3333333333,24.3181818182,25.1666666667,25.2424242424,24.803030303,24.0909090909,24.0909090909,23.4696969697,23.2424242424,22.7121212121,24.0757575758,23.9090909091,23.7878787879,23.0454545455,23.0909090909,22.7424242424,23.1818181818,23.0909090909,23.2121212121,23.0909090909,23.2424242424,23.3333333333,22.303030303,22.4545454545,21.303030303,22.2727272727,23.8333333333,23.0606060606,21.7575757576,22.5757575758,24.3939393939,23.7575757576,24.5606060606,25.8333333333,26.4696969697,25.4242424242,25.3484848485,25.0606060606,23.0606060606,23.4090909091,23.2121212121,24.1818181818,24.1515151515,23.5909090909,25.4393939394,31.1515151515,28.5151515152,26.5454545455,26.9393939394,24.2121212121,23.1515151515,23.7727272727,24.5757575758,25.7878787879,25.6363636364,25.196969697,24.1060606061,25.5151515152,24.2878787879,24.2575757576,23.3787878788,23.803030303,23.3636363636,23.0151515152,23.7575757576,22.8636363636,23.2121212121,23.4242424242,23.9848484848,24.9090909091,24.7727272727,24.5303030303,25.0303030303,24.5454545455,26.1363636364,26.5909090909,23.9090909091,22.9545454545,24.1666666667,24.0303030303,23.803030303,23.5454545455,23.696969697,22.7575757576,23.0151515152,24.1515151515,23.9696969697,24.803030303,22.9393939394,22.3636363636,22.6666666667,22.4090909091,22.196969697,21.803030303,22.2878787879,22.0909090909,21.7575757576,22.1818181818,22.3484848485,22.303030303,22.2424242424,21.7272727273,22.5151515152,21.9696969697,21.3484848485,21.5757575758,21.8333333333,22.2878787879
