0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153
22.6114494519,23.3483556638,17.802679659,22.7210718636,23.299634592,21.3349573691,22.7710109622,22.868453106,23.0621193666,22.6419001218,18.5542021924,21.8051157125,21.2375152253,21.3422655298,23.006090134,23.1339829476,22.7588306943,21.2387332521,28.8514007308,26.4689403167,27.1132764921,27.5334957369,27.1230207065,27.5042630938,26.5651644336,26.9086479903,26.412911084,25.8185140073,26.8124238733,25.7015834348,25.5383678441,26.6857490865,25.6796589525,25.0742996346,25.0048721072,23.8879415347,23.6626065773,24.0401948843,23.0645554202,24.5554202192,24.2728380024,24.3836784409,23.3885505481,23.1632155907,22.7332521315,23.4348355664,22.0889159562,22.0889159562,21.9792935445,21.4713763703,21.9634591961,21.3836784409,21.628501827,21.2911084044,21.0353227771,20.6894031669,21.0523751523,20.7990255786,20.7332521315,20.515225335,21.8306942753,20.7600487211,20.4604141291,20.1827040195,20.7028014616,20.0682095006,20.9110840438,19.5968331303,19.7235079172,19.5140073082,19.2143727162,19.0219244823,19.4092570037,20.3057247259,18.4141291108,18.3166869671,21.3666260658,20.269183922,20.4384896468,21.5249695493,21.7320341048,20.9866017052,21.5274056029,20.790499391,21.7442143727,20.1827040195,20.221680877,21.2545676005,21.3057247259,20.2070645554,22.2606577345,28.7028014616,26.7295980512,26.628501827,26.2959805116,22.9707673569,21.3093788063,21.9658952497,23.2521315469,23.3288672351,24.1084043849,23.4628501827,24.0548112058,23.987819732,24.2168087698,23.1546894032,22.5590742996,22.2326431181,22.1595615104,22.1863580999,22.3848964677,22.1961023143,21.5371498173,21.7868453106,23.7551766139,23.2911084044,23.3739342266,23.9780755177,23.8830694275,23.4701583435,22.8136419001,24.4567600487,24.0353227771,24.3191230207,22.0828258222,23.1035322777,23.1023142509,22.3057247259,21.9805115713,20.9768574909,19.8599269184,20.7344701583,21.6833130329,21.4579780755,22.1485992692,21.6735688185,21.0280146163,20.7563946407,21.0511571255,21.0036540804,20.5834348356,21.0974421437,20.5992691839,20.5651644336,20.4275274056,20.215590743,19.993909866,19.3666260658,19.6833130329,18.7941534714,18.8185140073,18.4007308161,19.0280146163,18.6638246041
22.4177831912,23.209500609,17.5310596833,22.6102314251,23.1412911084,21.5408038977,22.8221680877,23.2911084044,22.4652862363,22.8635809988,20.0645554202,21.7490864799,21.5237515225,21.9512789281,21.9086479903,23.5127892814,22.5761266748,21.347137637,27.8903775883,26.2704019488,27.1071863581,27.5115712546,26.0669914738,27.3215590743,26.5310596833,26.9524969549,27.1266747868,26.3239951279,26.9890377588,26.9049939099,25.8928136419,26.7040194884,26.2265529842,25.5079171742,23.8940316687,23.868453106,23.7454323995,24.484774665,23.1741778319,25.2375152253,23.790499391,24.5956151035,23.5066991474,23.2655298417,22.71863581,22.8477466504,22.2228989038,22.0146163216,22.006090134,21.706455542,21.6881851401,21.5542021924,21.0791717418,21.0901339829,21.1546894032,20.7746650426,21.1510353228,20.7515225335,20.9171741778,20.5274056029,21.5615103532,20.6930572473,20.3739342266,20.1607795371,20.5956151035,20.1583434836,20.8197320341,19.3081607795,19.7161997564,19.4031668697,19.1181485993,18.790499391,19.4555420219,20.3300852619,18.1680876979,18.6601705238,21.4579780755,20.3666260658,20.4957369062,21.3105968331,21.5468940317,21.4019488429,20.9512789281,20.6540803898,20.8380024361,20.4299634592,20.2898903776,21.3300852619,21.1291108404,20.0986601705,22.3568818514,28.7442143727,26.9098660171,26.6187576127,26.353227771,22.9732034105,21.1985383678,22.0876979294,23.6906211937,23.587088916,23.8976857491,24.0645554202,24.700365408,24.0219244823,24.0889159562,22.8964677223,22.6699147381,22.1863580999,22.1863580999,22.1961023143,22.56272838,22.3118148599,21.5140073082,21.8160779537,23.568818514,23.3544457978,23.6248477467,24.3909866017,24.0292326431,23.2253349574,23.15590743,24.287454324,24.4056029233,23.3130328867,22.1412911084,22.9512789281,23.0316686967,22.299634592,21.6930572473,21.2046285018,19.8635809988,20.7161997564,21.7088915956,21.5529841657,22.0365408039,22.0450669915,21.1644336175,20.5347137637,20.9646772229,21.0645554202,20.6918392205,20.9062119367,20.5432399513,20.556638246,20.2667478685,19.9780755177,20.1425091352,19.6321559074,19.6979293544,18.8940316687,18.6784409257,18.3520097442,18.9598051157,18.7600487211
22.2777101096,23.2009744214,18.8587088916,22.8708891596,23.5347137637,21.4555420219,23.227771011,23.5103532278,22.2326431181,23.6358099878,20.9573690621,21.9768574909,21.5724725944,22.0499390987,21.5529841657,24.2302070646,22.509135201,21.359317905,27.6479902558,26.2850182704,27.0962241169,27.7661388551,25.0292326431,27.0950060901,26.8136419001,28.1071863581,26.2399512789,27.2704019488,26.9537149817,26.8964677223,26.0998781973,25.9805115713,25.6820950061,25.0572472594,23.628501827,23.946406821,23.7015834348,24.2643118149,22.8233861145,24.5493300853,23.3629719854,24.3629719854,23.5176613886,23.0889159562,22.6869671133,22.341047503,22.4177831912,22.1607795371,22.053593179,21.9366626066,22.0572472594,21.6504263094,20.9196102314,21.0280146163,21.1400730816,20.8160779537,21.1961023143,20.8124238733,20.940316687,20.6723507917,20.9890377588,20.7174177832,20.5006090134,20.1120584653,20.5298416565,20.2204628502,20.8246041413,19.2984165652,19.7052375152,19.365408039,19.0876979294,18.8903775883,19.3836784409,20.2009744214,17.5761266748,19.059683313,21.4287454324,20.3800243605,20.4920828258,21.56272838,21.3885505481,21.5249695493,20.9123020706,20.6626065773,20.431181486,20.4409257004,20.2423873325,21.3897685749,21.0767356882,20.1144945189,22.7917174178,29.6954933009,27.6029232643,26.5213154689,26.3020706456,22.9037758831,21.2192448234,21.9768574909,23.915956151,23.7259439708,23.9975639464,24.6297198538,23.9805115713,24.1851400731,23.6662606577,22.7661388551,22.6333739342,22.1352009744,22.3544457978,22.2241169306,23.0925700365,22.3057247259,21.5420219245,21.915956151,23.7831912302,23.9646772229,23.9926918392,24.006090134,24.5846528624,23.8867235079,23.9074299635,24.2801461632,24.3288672351,22.9537149817,22.2886723508,22.7624847747,22.9987819732,22.4336175396,22.0170523752,20.8928136419,20.0450669915,20.6248477467,21.8099878197,21.7563946407,21.8952496955,22.2947624848,21.2058465286,20.5529841657,20.6638246041,21.1619975639,20.5420219245,20.7819732034,20.3447015834,20.5176613886,20.2399512789,20.3422655298,20.2143727162,19.6090133983,19.8380024361,18.946406821,18.7088915956,18.1985383678,18.772228989,18.6650426309
22.6017052375,23.5761266748,19.443361754,22.56272838,22.9196102314,21.3605359318,23.8148599269,23.8051157125,22.4531059683,23.4957369062,21.4384896468,21.1924482339,21.8355663825,21.8574908648,21.4604141291,23.7417783191,22.5493300853,21.275274056,27.6857490865,26.2131546894,26.8246041413,29.8075517661,24.574908648,27.7941534714,27.5895249695,27.8660170524,26.0828258222,27.1924482339,26.5274056029,27.0426309379,26.5371498173,25.2740560292,25.9135200974,24.8733252132,23.3678440926,23.9293544458,23.7088915956,24.0133982948,23.2350791717,23.7600487211,22.7576126675,23.5371498173,23.287454324,23.4043848965,22.7637028015,22.4945188794,22.7831912302,22.1205846529,22.1595615104,22.2606577345,22.0511571255,21.700365408,20.7369062119,21.227771011,21.2119366626,20.9183922046,21.0828258222,20.7819732034,21.0036540804,20.7551766139,21.503045067,20.5676004872,20.5054811206,20.1059683313,20.3629719854,20.3239951279,20.8855054811,19.4482338611,19.6906211937,19.3130328867,19.1839220463,18.9086479903,19.5225334957,20.3337393423,17.4872107186,19.3227771011,21.4470158343,20.4640682095,20.6090133983,21.8599269184,21.9269183922,21.5468940317,20.9196102314,20.646772229,20.2302070646,20.0986601705,20.1352009744,21.4725943971,21.0048721072,20.3520097442,22.6638246041,29.6674786845,27.3300852619,26.5980511571,26.3629719854,22.7819732034,21.0377588307,21.9378806334,24.4457978076,24.1802679659,24.1814859927,24.28136419,23.6297198538,24.1705237515,22.8708891596,22.8209500609,22.6796589525,22.1961023143,22.3982947625,22.2009744214,23.3313032887,22.1741778319,21.7052375152,21.8696711328,23.2436053593,24.287454324,23.8708891596,23.3276492083,23.6321559074,24.359317905,24.2228989038,24.1084043849,23.5274056029,22.7941534714,21.8051157125,22.6747868453,22.5517661389,22.3763702801,21.2375152253,20.8331303289,20.1802679659,20.7661388551,21.712545676,21.9488428745,21.556638246,21.9500609013,21.299634592,20.6248477467,20.7137637028,21.1339829476,20.5931790499,20.928136419,20.4591961023,20.4920828258,20.2630937881,20.6662606577,20.2362971985,19.515225335,19.7685749086,18.7917174178,18.7344701583,18.4859926918,19.0036540804,18.6881851401
23.1875761267,23.8574908648,20.4177831912,22.2302070646,22.4555420219,21.3788063337,24.5943970767,24.143727162,22.0962241169,23.5505481121,22.425091352,21.0584652862,21.3239951279,21.425091352,21.3045066991,23.5079171742,22.5554202192,22.4299634592,27.8099878197,26.1352009744,26.8855054811,29.1412911084,24.9707673569,28.1120584653,28.2314250914,27.2436053593,26.6370280146,27.0036540804,25.8258221681,26.6820950061,26.6820950061,25.9257003654,26.6187576127,24.293544458,23.5298416565,23.8842874543,23.509135201,23.28136419,22.9805115713,23.6065773447,22.8915956151,23.2618757613,22.4957369062,23.3434835566,22.9232643118,22.5542021924,23.1157125457,22.3970767357,22.2521315469,22.3666260658,22.0024360536,21.7892813642,20.8416565164,21.0901339829,21.0925700365,20.8185140073,21.0986601705,21.0194884287,21.1936662607,20.8708891596,22.0133982948,20.5408038977,20.5249695493,20.012180268,20.3215590743,20.2387332521,20.8477466504,19.4945188794,19.6552984166,19.3203410475,19.1534713764,18.9780755177,20.3142509135,20.3763702801,17.7040194884,19.3507917174,21.3934226553,20.4043848965,20.6930572473,21.9037758831,22.084043849,22.0523751523,20.850182704,20.6552984166,20.077953715,20.0487210719,20.1449451888,21.6711327649,20.9658952497,20.5432399513,22.7941534714,29.7028014616,26.3349573691,26.5736906212,26.2789281364,22.712545676,21.0669914738,22.0280146163,24.4202192448,24.2387332521,24.3276492083,24.3142509135,23.28136419,23.8733252132,22.7271619976,22.6942752741,22.6151035323,22.2570036541,22.347137637,22.1924482339,23.4616321559,21.9792935445,21.6516443362,21.9183922046,22.9634591961,24.275274056,22.9902557856,23.8063337393,23.7295980512,24.4275274056,23.5127892814,24.7417783191,23.2046285018,22.7417783191,22.0560292326,23.15590743,22.5639464068,22.1412911084,21.802679659,20.7137637028,20.0280146163,20.6431181486,21.8075517661,22.3434835566,21.2886723508,21.5943970767,21.1875761267,20.8428745432,20.724725944,21.1924482339,20.5712545676,20.8355663825,20.5676004872,20.490864799,20.2801461632,20.6808769793,20.1047503045,19.5456760049,19.8380024361,18.7381242387,18.8915956151,18.5347137637,18.9269183922,18.6967113276
23.4043848965,24.1546894032,22.215590743,22.1790499391,21.9719853837,21.4738124239,24.4604141291,24.0450669915,21.7405602923,23.5395858709,22.6760048721,21.1607795371,21.2046285018,21.3958587089,21.3897685749,23.4348355664,22.443361754,23.7576126675,27.730816078,26.7637028015,26.7478684531,29.490864799,24.3934226553,27.7015834348,28.2362971985,27.574908648,26.9890377588,27.7344701583,25.0353227771,26.6492082826,27.0694275274,25.6187576127,26.0950060901,23.8136419001,23.9476248477,23.9354445798,23.5383678441,22.8404384896,23.3008526188,23.3970767357,22.7819732034,23.269183922,22.6857490865,23.4531059683,22.9512789281,22.4555420219,23.4774665043,23.059683313,22.3252131547,22.4494518879,22.0280146163,21.8696711328,21.0109622412,20.8647990256,21.1071863581,20.9561510353,21.15590743,21.0609013398,21.2082825822,20.8294762485,22.0548112058,20.5298416565,20.431181486,20.0828258222,20.2618757613,20.1644336175,20.8209500609,19.6138855055,19.712545676,19.3897685749,19.0475030451,19.0621193666,20.7283800244,20.3166869671,17.8989037759,19.365408039,21.3934226553,20.4202192448,20.778319123,22.1132764921,22.1035322777,22.1887941535,20.6662606577,20.6991473812,19.9305724726,20.2204628502,20.1157125457,21.4348355664,21.065773447,20.3982947625,22.5420219245,29.8708891596,27.1693057247,26.5481120585,25.9695493301,22.7381242387,21.0158343484,22.3897685749,23.8721071864,24.2545676005,24.6735688185,23.6723507917,23.0791717418,23.7442143727,22.7113276492,22.6991473812,22.6017052375,22.3349573691,22.0462850183,21.9768574909,22.9963459196,21.987819732,21.7673568819,21.940316687,22.9512789281,24.0267965895,24.1242387333,23.7222898904,23.8647990256,24.2838002436,24.2521315469,23.3909866017,22.993909866,22.7710109622,23.2545676005,23.2667478685,22.4031668697,22.0828258222,22.1583434836,21.0365408039,20.0633373934,20.6565164434,21.8112058465,22.2046285018,21.2411693057,21.4116930572,21.2825822168,20.9780755177,20.7259439708,21.1534713764,20.6979293544,20.9853836784,20.6224116931,20.3325213155,20.3727161998,20.4177831912,20.1741778319,19.4920828258,19.8696711328,18.8331303289,18.7271619976,18.4226552984,19.0426309379,18.784409257
23.6723507917,23.8063337393,22.6857490865,22.1473812424,21.4555420219,21.5761266748,24.2509135201,24.3373934227,21.9500609013,23.1668696711,22.269183922,21.5663824604,21.0852618758,21.1327649208,21.5395858709,23.9805115713,22.5761266748,24.3934226553,27.8842874543,26.6626065773,26.6224116931,29.4348355664,24.8160779537,27.7539585871,28.0243605359,27.2460414129,26.419001218,27.0426309379,25.0377588307,26.0962241169,27.1863580999,24.9123020706,25.2655298417,23.4677222899,24.0328867235,23.9926918392,23.6906211937,22.784409257,23.43727162,23.1035322777,22.9598051157,23.1924482339,23.0401948843,23.3678440926,23.0109622412,22.3093788063,22.7101096224,22.3154689403,22.3105968331,22.5249695493,22.1230207065,21.8769792935,21.0767356882,20.7137637028,21.1108404385,21.2545676005,21.2119366626,20.9232643118,21.1753958587,20.9512789281,21.4993909866,21.0998781973,20.4993909866,20.0475030451,20.2009744214,20.1181485993,20.7503045067,19.6540803898,19.3507917174,19.4567600487,19.0182704019,18.9975639464,20.8185140073,20.1193666261,18.2058465286,19.4531059683,21.2545676005,20.4567600487,20.7831912302,21.4080389769,22.3836784409,22.4263093788,20.7040194884,20.6626065773,19.9902557856,20.3349573691,20.1875761267,21.4104750305,21.2302070646,20.3982947625,22.4384896468,29.7637028015,27.2107186358,26.3751522533,25.8477466504,22.6272838002,21.215590743,22.3751522533,23.856272838,24.4677222899,24.490864799,23.4263093788,23.053593179,23.275274056,22.6297198538,22.5736906212,22.5493300853,22.5736906212,22.0328867235,22.0816077954,22.1522533496,21.8136419001,21.6906211937,21.8343483557,23.0426309379,23.3093788063,23.8197320341,23.6918392205,23.8160779537,24.3203410475,24.0889159562,24.4616321559,23.2643118149,22.6699147381,23.3215590743,22.6808769793,22.4092570037,22.1778319123,22.2862362972,21.0194884287,20.1132764921,20.6833130329,21.3885505481,22.2387332521,21.4104750305,21.3775883069,21.3093788063,20.9732034105,20.8148599269,21.2594397077,20.6126674787,20.9963459196,20.658952497,20.3970767357,20.3958587089,20.574908648,20.2801461632,19.6942752741,19.6857490865,18.6869671133,18.7612667479,18.6638246041,18.9975639464,18.9817295981
23.7344701583,23.1607795371,23.0706455542,22.3166869671,21.3325213155,21.71863581,24.2423873325,23.2180267966,21.8794153471,23.0316686967,22.1571254568,21.7868453106,21.4043848965,21.1717417783,21.4518879415,23.9732034105,22.7478684531,24.7600487211,27.2521315469,26.6967113276,26.6662606577,29.9476248477,24.3605359318,27.0755176614,26.9378806334,26.6686967113,25.9354445798,26.15590743,25.0523751523,25.6906211937,26.0523751523,24.5578562728,24.6370280146,23.503045067,24.1485992692,24.0548112058,23.6236297199,22.6297198538,23.5420219245,23.006090134,22.8964677223,23.2387332521,23.2082825822,23.2838002436,23.0645554202,22.490864799,22.4567600487,21.652862363,22.3325213155,22.1035322777,22.3069427527,21.9098660171,21.5006090134,20.9305724726,21.0109622412,21.2070645554,21.2399512789,20.9293544458,21.1035322777,21.227771011,21.1084043849,21.3434835566,20.4494518879,19.9232643118,20.3252131547,20.2387332521,20.6796589525,19.7040194884,19.2021924482,19.5103532278,18.9622411693,19.006090134,20.8842874543,19.8428745432,18.3203410475,19.4750304507,21.2326431181,20.5334957369,20.7466504263,21.4762484775,22.221680877,22.1157125457,20.9049939099,20.6163215591,20.1096224117,20.6151035323,20.2338611449,21.3580998782,21.2533495737,20.556638246,22.4153471376,29.9476248477,26.4811205847,26.4165651644,25.8392204629,22.4859926918,21.2959805116,22.2825822168,23.1936662607,24.2728380024,24.1364190012,23.1242387333,22.7600487211,23.2460414129,23.0073081608,22.5968331303,22.4981729598,22.7235079172,22.0937880633,22.2947624848,22.1035322777,21.7856272838,21.4920828258,21.8574908648,23.0182704019,22.503045067,23.9013398295,23.3641900122,23.4397076736,24.1924482339,24.1839220463,24.4725943971,23.0170523752,22.7417783191,22.8611449452,22.6126674787,22.353227771,22.1778319123,22.0694275274,20.9330085262,20.2643118149,20.7015834348,21.5456760049,21.9500609013,21.5651644336,21.3495736906,21.1887941535,20.9549330085,20.7624847747,21.0889159562,20.6808769793,20.8915956151,20.6565164434,20.4080389769,20.5066991474,20.4287454324,20.3264311815,19.7356881851,19.7113276492,18.8989037759,18.8221680877,18.7576126675,19.0621193666,19.1863580999
23.6504263094,22.802679659,23.0328867235,22.2131546894,21.3349573691,21.8879415347,23.712545676,22.6613885505,22.2728380024,22.6309378806,21.7953714982,21.700365408,21.3422655298,21.8075517661,21.490864799,23.8647990256,22.7978075518,24.0231425091,28.1644336175,26.3556638246,26.8708891596,30.0950060901,23.9390986602,26.7149817296,26.6650426309,25.8903775883,26.0974421437,25.7600487211,25.0487210719,25.1181485993,25.2850182704,24.6333739342,24.6090133983,23.9658952497,23.7259439708,24.1510353228,23.568818514,23.0645554202,23.6711327649,23.0012180268,22.9866017052,23.143727162,23.1023142509,23.2764920828,23.0548112058,22.2058465286,21.8489646772,21.503045067,22.2704019488,21.9086479903,22.1851400731,21.6772228989,21.443361754,20.9366626066,20.8672350792,20.347137637,21.2436053593,20.8660170524,21.0292326431,20.9171741778,21.0304506699,20.8952496955,20.4591961023,19.8051157125,20.2582216809,20.3239951279,20.4859926918,19.7283800244,19.2496954933,19.5042630938,18.9549330085,19.1632155907,20.790499391,19.9293544458,18.4506699147,19.5322777101,21.3057247259,20.6760048721,20.796589525,21.5615103532,21.9439707674,21.9902557856,21.5164433618,20.8014616322,20.1827040195,20.9671132765,20.3836784409,21.2959805116,21.1595615104,20.6431181486,22.4616321559,30.0511571255,26.4543239951,26.1705237515,26.2338611449,22.5188794153,21.3861144945,22.2643118149,23.3836784409,23.7028014616,23.7880633374,23.053593179,23.0,23.2521315469,22.6090133983,22.6662606577,22.4263093788,23.053593179,22.6236297199,22.2107186358,21.8733252132,21.8282582217,21.700365408,21.9196102314,22.8574908648,23.1851400731,23.6151035323,23.4567600487,23.3337393423,23.706455542,24.9037758831,24.7161997564,23.1571254568,22.4421437272,22.84409257,22.7417783191,22.299634592,21.9183922046,21.8416565164,20.9135200974,20.0304506699,20.7052375152,21.4579780755,21.940316687,21.4859926918,21.3678440926,21.2143727162,20.9524969549,20.9269183922,20.9378806334,20.9257003654,20.6857490865,20.5578562728,20.4872107186,20.5164433618,20.3556638246,20.4701583435,19.8915956151,19.7685749086,18.9001218027,18.8258221681,18.6942752741,18.9098660171,19.1144945189
23.4774665043,22.2180267966,22.634591961,22.143727162,21.5408038977,22.215590743,23.0682095006,22.4543239951,22.5980511571,22.4445797808,22.0267965895,21.8343483557,21.9512789281,21.587088916,21.3922046285,23.8367844093,22.7734470158,23.8331303289,28.0742996346,27.0146163216,27.0146163216,30.934226553,24.6699147381,26.7283800244,26.5042630938,25.8550548112,26.0231425091,25.9476248477,25.2107186358,24.8599269184,25.8124238733,24.9671132765,24.431181486,23.6102314251,23.9001218027,24.1327649208,23.341047503,23.1741778319,23.3459196102,23.1108404385,23.5188794153,23.3605359318,23.1388550548,23.3556638246,22.3422655298,22.3069427527,21.8453105968,21.6382460414,22.1120584653,22.0950060901,21.8574908648,21.3800243605,21.5200974421,20.9817295981,20.6760048721,20.1157125457,21.1900121803,20.7953714982,20.8587088916,20.3751522533,20.7600487211,20.3300852619,20.5274056029,19.856272838,20.1887941535,20.3909866017,20.43727162,19.724725944,19.2655298417,19.5115712546,18.9537149817,19.2436053593,20.7344701583,19.9123020706,18.6735688185,19.5200974421,21.2119366626,20.7612667479,20.8124238733,21.8940316687,22.2472594397,21.8611449452,21.6138855055,21.1583434836,20.4299634592,20.6638246041,20.4518879415,21.2570036541,21.149817296,20.5432399513,22.6114494519,29.9171741778,26.0682095006,26.1193666261,26.1729598051,22.3666260658,21.3057247259,22.2667478685,23.2971985384,24.0962241169,23.6796589525,22.8830694275,22.7819732034,24.0182704019,22.7222898904,22.7539585871,22.4104750305,22.3995127893,22.6260657734,22.0645554202,22.1948842875,21.7892813642,21.6845310597,21.9208282582,22.7710109622,23.9744214373,23.6077953715,23.2728380024,23.4823386114,23.5115712546,24.4116930572,25.0341047503,23.1924482339,22.3763702801,23.2667478685,22.6638246041,22.3836784409,22.1461632156,21.7673568819,20.987819732,20.2302070646,20.6577344702,21.4323995128,22.0572472594,21.5822168088,21.2326431181,21.2740560292,20.9524969549,21.1412911084,20.8051157125,20.8818514007,20.8465286236,20.5797807552,20.5615103532,20.6833130329,20.371498173,20.269183922,19.5797807552,19.6894031669,18.9439707674,18.7746650426,18.6552984166,19.0243605359,19.3641900122
